base_plus_pca_surprise_skill,base_plus_surprise_skill,base_plus_velocity_skill,base_plus_velocity_surprise_skill,base_skill,block_rows,block_seconds,ci_high,ci_low,diagnostic,draws,feature,increment_beyond_velocity,paired_increment_beyond_velocity,paired_intervals,quintile_monotonic,quintile_samples,quintile_target_means,samples,seed,spearman,target
,,,,,24,120,0.19301270925677477,0.12735811001241032,diagnostic_2,500,surprise_cosine_60s,,,,False,"[0,0,0,1894,2583]","[null,null,null,0.00474715990495279,0.005744308501516623]",4477,7,0.16459574097774943,absolute_atm_iv_change
,,,,,60,300,0.19341724693492524,0.12938326344893622,diagnostic_2,500,surprise_cosine_60s,,,,False,"[0,0,0,1894,2583]","[null,null,null,0.00474715990495279,0.005744308501516623]",4477,7,0.16459574097774943,absolute_atm_iv_change
-0.12177094711468883,-0.17798383233115667,-0.22798577928542096,-0.1613403125993662,-0.2206168077093067,,,,,diagnostic_2,,surprise_increment_60s,0.06664546668605476,"{""60s"":{""mean_mae_reduction"":0.0012816382847327188,""ci_low"":0.001204811793691418,""ci_high"":0.0013625986917665824,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":0.0012816382847327188,""ci_low"":0.0012046052583963697,""ci_high"":0.0013686768912666769,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":0.0012816382847327188,""ci_low"":0.0012032665861015997,""ci_high"":0.0013668059329916653,""positive_probability"":1.0,""block_rows"":60,""draws"":500}}","{""base_to_candidate"":{""60s"":{""mean_mae_reduction"":0.001139927879499242,""ci_low"":0.0010510724943404786,""ci_high"":0.001216605458959665,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":0.001139927879499242,""ci_low"":0.0010570562885485841,""ci_high"":0.0012241581798454987,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":0.001139927879499242,""ci_low"":0.001044061279346908,""ci_high"":0.0012377896024651923,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""base_pca_to_candidate"":{""60s"":{""mean_mae_reduction"":0.0005042273858185906,""ci_low"":0.00044537418501856455,""ci_high"":0.0005626600615967113,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":0.0005042273858185906,""ci_low"":0.0004396192934005074,""ci_high"":0.0005696761917764174,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":0.0005042273858185906,""ci_low"":0.0004283934319880379,""ci_high"":0.0005774750871368161,""positive_probability"":1.0,""block_rows"":60,""draws"":500}}}",,,,,7,,surface_displacement
0.1652825046926043,0.19052277799254724,0.18849641893399882,0.18796379402642993,0.1894451971199771,,,,,diagnostic_2,,surprise_increment_60s,-0.0005326249075688905,"{""60s"":{""mean_mae_reduction"":-2.7234761895808734e-06,""ci_low"":-2.8524207219278116e-06,""ci_high"":-2.5961197224623777e-06,""positive_probability"":0.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-2.7234761895808734e-06,""ci_low"":-2.8567622862258525e-06,""ci_high"":-2.6075015937904107e-06,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-2.7234761895808734e-06,""ci_low"":-2.885893496380476e-06,""ci_high"":-2.5914141094550745e-06,""positive_probability"":0.0,""block_rows"":60,""draws"":500}}","{""base_to_candidate"":{""60s"":{""mean_mae_reduction"":-7.574873039380323e-06,""ci_low"":-8.131576777284053e-06,""ci_high"":-6.971856687427476e-06,""positive_probability"":0.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-7.574873039380323e-06,""ci_low"":-8.392464021522219e-06,""ci_high"":-6.735637711982341e-06,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-7.574873039380323e-06,""ci_low"":-8.630267087046094e-06,""ci_high"":-6.615418633622039e-06,""positive_probability"":0.0,""block_rows"":60,""draws"":500}},""base_pca_to_candidate"":{""60s"":{""mean_mae_reduction"":-2.2159009556569023e-05,""ci_low"":-2.3088417040929734e-05,""ci_high"":-2.123480723973941e-05,""positive_probability"":0.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-2.2159009556569023e-05,""ci_low"":-2.3244905596729255e-05,""ci_high"":-2.0961036179536524e-05,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-2.2159009556569023e-05,""ci_low"":-2.3674655944974458e-05,""ci_high"":-2.0696688410049678e-05,""positive_probability"":0.0,""block_rows"":60,""draws"":500}}}",,,,,7,,absolute_atm_iv_change
,,,,,12,60,0.014678267571489762,-0.07960803268668111,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[0.059561670446613674,0.02257751566895821,0.06939788151357176,0.045052895996835755,0.042683453069046334]",2342,23,-0.031931986002840994,surface_displacement
,,,,,24,120,0.008121463271495911,-0.07903025641795751,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[0.059561670446613674,0.02257751566895821,0.06939788151357176,0.045052895996835755,0.042683453069046334]",2342,23,-0.031931986002840994,surface_displacement
,,,,,60,300,0.011771326277521019,-0.09001810329681788,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[0.059561670446613674,0.02257751566895821,0.06939788151357176,0.045052895996835755,0.042683453069046334]",2342,23,-0.031931986002840994,surface_displacement
,,,,,12,60,-0.05978234070035811,-0.13892601572930088,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[0.007905766367912292,0.0005522444844245911,0.009905901092749376,0.004967945301425211,0.004247795788010143]",2342,23,-0.1005620818761217,absolute_atm_iv_change
,,,,,24,120,-0.061772405496063186,-0.14177701489142944,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[0.007905766367912292,0.0005522444844245911,0.009905901092749376,0.004967945301425211,0.004247795788010143]",2342,23,-0.1005620818761217,absolute_atm_iv_change
,,,,,60,300,-0.05894661976833362,-0.14624297224518895,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[0.007905766367912292,0.0005522444844245911,0.009905901092749376,0.004967945301425211,0.004247795788010143]",2342,23,-0.1005620818761217,absolute_atm_iv_change
,,,,,12,60,0.1300443779445103,-0.044736841393082996,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[0.0001785683153069098,0.00016185232743203185,0.00010107964622480548,0.00010993026079010379,0.00011622008799978561]",2342,23,0.042191474224365436,realized_futures_volatility
,,,,,24,120,0.1483623146355311,-0.0457096039939214,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[0.0001785683153069098,0.00016185232743203185,0.00010107964622480548,0.00010993026079010379,0.00011622008799978561]",2342,23,0.042191474224365436,realized_futures_volatility
,,,,,60,300,0.163394809140565,-0.031750773227065154,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[0.0001785683153069098,0.00016185232743203185,0.00010107964622480548,0.00010993026079010379,0.00011622008799978561]",2342,23,0.042191474224365436,realized_futures_volatility
,,,,,12,60,0.04199940866604699,-0.09803280565815115,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[0.00016021728515625,0.00014781951904296875,9.621106661283053e-05,8.543496279372382e-05,8.678994709280457e-05]",2342,23,-0.030295077311553245,absolute_futures_return
,,,,,24,120,0.061289460105596376,-0.10048035601430615,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[0.00016021728515625,0.00014781951904296875,9.621106661283053e-05,8.543496279372382e-05,8.678994709280457e-05]",2342,23,-0.030295077311553245,absolute_futures_return
,,,,,60,300,0.0836841827222572,-0.09411964516359102,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[0.00016021728515625,0.00014781951904296875,9.621106661283053e-05,8.543496279372382e-05,8.678994709280457e-05]",2342,23,-0.030295077311553245,absolute_futures_return
,,,,,12,60,-0.04507971898174263,-0.1239948327322493,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[-0.00021619786275550723,-6.4168707467615604e-06,0.0002678022193811977,5.107387641118359e-05,-3.27641269501581e-05]",2342,23,-0.08098710946451923,near_atm_spread_change
,,,,,24,120,-0.05083127761133045,-0.12018236592292567,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[-0.00021619786275550723,-6.4168707467615604e-06,0.0002678022193811977,5.107387641118359e-05,-3.27641269501581e-05]",2342,23,-0.08098710946451923,near_atm_spread_change
,,,,,60,300,-0.051719893296573616,-0.12380921227704339,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[-0.00021619786275550723,-6.4168707467615604e-06,0.0002678022193811977,5.107387641118359e-05,-3.27641269501581e-05]",2342,23,-0.08098710946451923,near_atm_spread_change
,,,,,12,60,-0.0631093341694308,-0.1905877474955118,diagnostic_1,500,surprise_l2_5s,,,,True,"[2,1,26,776,1537]","[9.203329682350159e-05,7.607974112033844e-05,4.982317869479839e-05,4.9216587566914635e-05,4.464063657691282e-05]",2342,23,-0.12381060612800172,absolute_atm_straddle_change
,,,,,24,120,-0.03941697828634982,-0.20025641475332254,diagnostic_1,500,surprise_l2_5s,,,,True,"[2,1,26,776,1537]","[9.203329682350159e-05,7.607974112033844e-05,4.982317869479839e-05,4.9216587566914635e-05,4.464063657691282e-05]",2342,23,-0.12381060612800172,absolute_atm_straddle_change
,,,,,60,300,-0.016156772299959397,-0.1951191545166992,diagnostic_1,500,surprise_l2_5s,,,,True,"[2,1,26,776,1537]","[9.203329682350159e-05,7.607974112033844e-05,4.982317869479839e-05,4.9216587566914635e-05,4.464063657691282e-05]",2342,23,-0.12381060612800172,absolute_atm_straddle_change
,,,,,12,60,0.006037899532717966,-0.10682533205256069,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[5.2879877330269665e-06,1.0545249097049236e-05,3.601621966271733e-06,1.2265914359811655e-06,-1.4309411158827034e-07]",2342,23,-0.050640824656486456,parity_restoration
,,,,,24,120,0.0025068201494616985,-0.10232569205098015,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[5.2879877330269665e-06,1.0545249097049236e-05,3.601621966271733e-06,1.2265914359811655e-06,-1.4309411158827034e-07]",2342,23,-0.050640824656486456,parity_restoration
,,,,,60,300,0.005461667335080899,-0.09555190282844087,diagnostic_1,500,surprise_l2_5s,,,,False,"[2,1,26,776,1537]","[5.2879877330269665e-06,1.0545249097049236e-05,3.601621966271733e-06,1.2265914359811655e-06,-1.4309411158827034e-07]",2342,23,-0.050640824656486456,parity_restoration
,,,,,12,60,0.025191445439872936,-0.0688473457140872,diagnostic_1,500,surprise_unit_l2_5s,,,,False,"[0,0,3,602,1737]","[null,null,0.047233618854061854,0.04712542681411475,0.04260239069540849]",2342,23,-0.020926809269573056,surface_displacement
,,,,,24,120,0.021586010288068374,-0.06949343392801925,diagnostic_1,500,surprise_unit_l2_5s,,,,False,"[0,0,3,602,1737]","[null,null,0.047233618854061854,0.04712542681411475,0.04260239069540849]",2342,23,-0.020926809269573056,surface_displacement
,,,,,60,300,0.024698156052037474,-0.08097914990717833,diagnostic_1,500,surprise_unit_l2_5s,,,,False,"[0,0,3,602,1737]","[null,null,0.047233618854061854,0.04712542681411475,0.04260239069540849]",2342,23,-0.020926809269573056,surface_displacement
,,,,,12,60,-0.05245952425381659,-0.13173203888186114,diagnostic_1,500,surprise_unit_l2_5s,,,,False,"[0,0,3,602,1737]","[null,null,0.005454592406749725,0.005473196729275079,0.004229520251851145]",2342,23,-0.09397479562347967,absolute_atm_iv_change
,,,,,24,120,-0.053189482986359456,-0.13574845964215146,diagnostic_1,500,surprise_unit_l2_5s,,,,False,"[0,0,3,602,1737]","[null,null,0.005454592406749725,0.005473196729275079,0.004229520251851145]",2342,23,-0.09397479562347967,absolute_atm_iv_change
,,,,,60,300,-0.051494484278085464,-0.1405719405839515,diagnostic_1,500,surprise_unit_l2_5s,,,,False,"[0,0,3,602,1737]","[null,null,0.005454592406749725,0.005473196729275079,0.004229520251851145]",2342,23,-0.09397479562347967,absolute_atm_iv_change
,,,,,12,60,0.025191445439872936,-0.0688473457140872,diagnostic_1,500,surprise_cosine_5s,,,,False,"[0,0,3,602,1737]","[null,null,0.047233618854061854,0.04712542681411475,0.04260239069540849]",2342,23,-0.020926809269573056,surface_displacement
,,,,,24,120,0.021586010288068374,-0.06949343392801925,diagnostic_1,500,surprise_cosine_5s,,,,False,"[0,0,3,602,1737]","[null,null,0.047233618854061854,0.04712542681411475,0.04260239069540849]",2342,23,-0.020926809269573056,surface_displacement
,,,,,60,300,0.024698156052037474,-0.08097914990717833,diagnostic_1,500,surprise_cosine_5s,,,,False,"[0,0,3,602,1737]","[null,null,0.047233618854061854,0.04712542681411475,0.04260239069540849]",2342,23,-0.020926809269573056,surface_displacement
,,,,,12,60,-0.05245952425381659,-0.13173203888186114,diagnostic_1,500,surprise_cosine_5s,,,,False,"[0,0,3,602,1737]","[null,null,0.005454592406749725,0.005473196729275079,0.004229520251851145]",2342,23,-0.09397479562347967,absolute_atm_iv_change
,,,,,24,120,-0.053189482986359456,-0.13574845964215146,diagnostic_1,500,surprise_cosine_5s,,,,False,"[0,0,3,602,1737]","[null,null,0.005454592406749725,0.005473196729275079,0.004229520251851145]",2342,23,-0.09397479562347967,absolute_atm_iv_change
,,,,,60,300,-0.051494484278085464,-0.1405719405839515,diagnostic_1,500,surprise_cosine_5s,,,,False,"[0,0,3,602,1737]","[null,null,0.005454592406749725,0.005473196729275079,0.004229520251851145]",2342,23,-0.09397479562347967,absolute_atm_iv_change
-0.005482886247652363,-0.040246569450391734,-0.10323763139372377,-0.040801166887072915,-0.08200533791537845,,,,,diagnostic_1,,surprise_increment_5s,0.06243646450665086,"{""60s"":{""mean_mae_reduction"":0.0011972018489404637,""ci_low"":0.0010742226922888045,""ci_high"":0.0013191236532972509,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":0.0011972018489404637,""ci_low"":0.0010485706272868136,""ci_high"":0.0013392903999173782,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":0.0011972018489404637,""ci_low"":0.0010358218478535887,""ci_high"":0.0013787066715099158,""positive_probability"":1.0,""block_rows"":60,""draws"":500}}","{""base_to_candidate"":{""60s"":{""mean_mae_reduction"":0.0007900785242875454,""ci_low"":0.000662712239144989,""ci_high"":0.0009195496494737793,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":0.0007900785242875454,""ci_low"":0.0006290203176737758,""ci_high"":0.000945959048417445,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":0.0007900785242875454,""ci_low"":0.0005823186429413051,""ci_high"":0.001012588306019414,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""base_pca_to_candidate"":{""60s"":{""mean_mae_reduction"":-2.870447817658922e-05,""ci_low"":-0.00012800150202218991,""ci_high"":6.775645861612848e-05,""positive_probability"":0.304,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-2.870447817658922e-05,""ci_low"":-0.00016193142650213684,""ci_high"":0.00010271020180642887,""positive_probability"":0.314,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-2.870447817658922e-05,""ci_low"":-0.00018882098785677788,""ci_high"":0.00013928854786715689,""positive_probability"":0.392,""block_rows"":60,""draws"":500}}}",,,,,23,,surface_displacement
0.141155348388059,0.17239327656763792,0.17303976029553048,0.17593608088482948,0.1716380222591154,,,,,diagnostic_1,,surprise_increment_5s,0.0028963205892990063,"{""60s"":{""mean_mae_reduction"":1.2579571722763793e-05,""ci_low"":1.1630786581969782e-05,""ci_high"":1.3564541838498402e-05,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":1.2579571722763793e-05,""ci_low"":1.1358773718832503e-05,""ci_high"":1.3785531683945815e-05,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":1.2579571722763793e-05,""ci_low"":1.124341757533097e-05,""ci_high"":1.4080125982542041e-05,""positive_probability"":1.0,""block_rows"":60,""draws"":500}}","{""base_to_candidate"":{""60s"":{""mean_mae_reduction"":1.86677320703298e-05,""ci_low"":1.771445304680279e-05,""ci_high"":1.967546703265554e-05,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":1.86677320703298e-05,""ci_low"":1.760141763290754e-05,""ci_high"":1.9733217972790976e-05,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":1.86677320703298e-05,""ci_low"":1.7603683626418492e-05,""ci_high"":1.9671927186563358e-05,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""base_pca_to_candidate"":{""60s"":{""mean_mae_reduction"":1.3821587471167946e-05,""ci_low"":1.312567955723079e-05,""ci_high"":1.451052671146035e-05,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":1.3821587471167946e-05,""ci_low"":1.303624540562811e-05,""ci_high"":1.4706231702049785e-05,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":1.3821587471167946e-05,""ci_low"":1.2935513295662726e-05,""ci_high"":1.481567268505815e-05,""positive_probability"":1.0,""block_rows"":60,""draws"":500}}}",,,,,23,,absolute_atm_iv_change
,,,,,12,60,-0.045377430891293355,-0.11456235546235233,diagnostic_2,500,surprise_l2_5s,,,,False,"[10,23,72,811,3561]","[0.05131513926214805,0.054832964030612635,0.061513492075374265,0.04850454453047058,0.04226342665890343]",4477,23,-0.07874696823659211,surface_displacement
,,,,,24,120,-0.04630313246232287,-0.12097988007498914,diagnostic_2,500,surprise_l2_5s,,,,False,"[10,23,72,811,3561]","[0.05131513926214805,0.054832964030612635,0.061513492075374265,0.04850454453047058,0.04226342665890343]",4477,23,-0.07874696823659211,surface_displacement
,,,,,60,300,-0.04352445338710642,-0.12241623216558625,diagnostic_2,500,surprise_l2_5s,,,,False,"[10,23,72,811,3561]","[0.05131513926214805,0.054832964030612635,0.061513492075374265,0.04850454453047058,0.04226342665890343]",4477,23,-0.07874696823659211,surface_displacement
,,,,,12,60,-0.1124921645029084,-0.1727832025121452,diagnostic_2,500,surprise_l2_5s,,,,False,"[10,23,72,811,3561]","[0.008234481513500213,0.00786173052113989,0.008909089904692438,0.006449866631101591,0.004968606793405098]",4477,23,-0.14033107253241997,absolute_atm_iv_change
