block_seconds,diagnostic,family,feature,maximum_spearman,median_spearman,minimum_spearman,positive_seeds,seeds,target
300,diagnostic_1,surprise,surprise_l2_5s,0.029959629783898198,0.002866155243122385,-0.030295077311553245,3,5,absolute_futures_return
60,diagnostic_1,surprise,surprise_l2_5s,0.031478865796527346,-0.029113333140283214,-0.08098710946451923,2,5,near_atm_spread_change
120,diagnostic_1,surprise,surprise_l2_5s,0.031478865796527346,-0.029113333140283214,-0.08098710946451923,2,5,near_atm_spread_change
300,diagnostic_1,surprise,surprise_l2_5s,0.031478865796527346,-0.029113333140283214,-0.08098710946451923,2,5,near_atm_spread_change
60,diagnostic_1,surprise,surprise_l2_5s,-0.024015835678566334,-0.06505679688737917,-0.08279483261962217,0,5,parity_restoration
120,diagnostic_1,surprise,surprise_l2_5s,-0.024015835678566334,-0.06505679688737917,-0.08279483261962217,0,5,parity_restoration
300,diagnostic_1,surprise,surprise_l2_5s,-0.024015835678566334,-0.06505679688737917,-0.08279483261962217,0,5,parity_restoration
60,diagnostic_1,surprise,surprise_l2_5s,0.07842865614362428,0.042191474224365436,0.019556769675025922,5,5,realized_futures_volatility
120,diagnostic_1,surprise,surprise_l2_5s,0.07842865614362428,0.042191474224365436,0.019556769675025922,5,5,realized_futures_volatility
300,diagnostic_1,surprise,surprise_l2_5s,0.07842865614362428,0.042191474224365436,0.019556769675025922,5,5,realized_futures_volatility
60,diagnostic_1,surprise,surprise_l2_5s,0.160242940314027,0.04931250799876288,-0.031931986002840994,4,5,surface_displacement
120,diagnostic_1,surprise,surprise_l2_5s,0.160242940314027,0.04931250799876288,-0.031931986002840994,4,5,surface_displacement
300,diagnostic_1,surprise,surprise_l2_5s,0.160242940314027,0.04931250799876288,-0.031931986002840994,4,5,surface_displacement
60,diagnostic_1,surprise,surprise_l2_60s,0.09564180692463711,-0.029683714562789752,-0.10443127511132379,2,5,absolute_atm_iv_change
120,diagnostic_1,surprise,surprise_l2_60s,0.09564180692463711,-0.029683714562789752,-0.10443127511132379,2,5,absolute_atm_iv_change
300,diagnostic_1,surprise,surprise_l2_60s,0.09564180692463711,-0.029683714562789752,-0.10443127511132379,2,5,absolute_atm_iv_change
60,diagnostic_1,surprise,surprise_l2_60s,-0.11480958549915037,-0.1272030641169046,-0.17447976047108216,0,5,absolute_atm_straddle_change
120,diagnostic_1,surprise,surprise_l2_60s,-0.11480958549915037,-0.1272030641169046,-0.17447976047108216,0,5,absolute_atm_straddle_change
300,diagnostic_1,surprise,surprise_l2_60s,-0.11480958549915037,-0.1272030641169046,-0.17447976047108216,0,5,absolute_atm_straddle_change
60,diagnostic_1,surprise,surprise_l2_60s,0.03320035977737733,-0.004944053381091811,-0.026866913039479808,2,5,absolute_futures_return
120,diagnostic_1,surprise,surprise_l2_60s,0.03320035977737733,-0.004944053381091811,-0.026866913039479808,2,5,absolute_futures_return
300,diagnostic_1,surprise,surprise_l2_60s,0.03320035977737733,-0.004944053381091811,-0.026866913039479808,2,5,absolute_futures_return
60,diagnostic_1,surprise,surprise_l2_60s,0.03645796144816905,-0.03383657207135961,-0.08445237014975887,2,5,near_atm_spread_change
120,diagnostic_1,surprise,surprise_l2_60s,0.03645796144816905,-0.03383657207135961,-0.08445237014975887,2,5,near_atm_spread_change
300,diagnostic_1,surprise,surprise_l2_60s,0.03645796144816905,-0.03383657207135961,-0.08445237014975887,2,5,near_atm_spread_change
60,diagnostic_1,surprise,surprise_l2_60s,-0.001021631896359713,-0.052006253570205586,-0.0688789613033226,0,5,parity_restoration
120,diagnostic_1,surprise,surprise_l2_60s,-0.001021631896359713,-0.052006253570205586,-0.0688789613033226,0,5,parity_restoration
300,diagnostic_1,surprise,surprise_l2_60s,-0.001021631896359713,-0.052006253570205586,-0.0688789613033226,0,5,parity_restoration
60,diagnostic_1,surprise,surprise_l2_60s,0.06160966004920508,0.04643532281230554,0.028922152424688964,5,5,realized_futures_volatility
120,diagnostic_1,surprise,surprise_l2_60s,0.06160966004920508,0.04643532281230554,0.028922152424688964,5,5,realized_futures_volatility
300,diagnostic_1,surprise,surprise_l2_60s,0.06160966004920508,0.04643532281230554,0.028922152424688964,5,5,realized_futures_volatility
60,diagnostic_1,surprise,surprise_l2_60s,0.1621591725387955,0.03747571144813857,-0.03357175022995285,4,5,surface_displacement
120,diagnostic_1,surprise,surprise_l2_60s,0.1621591725387955,0.03747571144813857,-0.03357175022995285,4,5,surface_displacement
300,diagnostic_1,surprise,surprise_l2_60s,0.1621591725387955,0.03747571144813857,-0.03357175022995285,4,5,surface_displacement
60,diagnostic_1,surprise,surprise_unit_l2_30s,0.10417767485092894,-0.01768025942744882,-0.09855355617417723,2,5,absolute_atm_iv_change
120,diagnostic_1,surprise,surprise_unit_l2_30s,0.10417767485092894,-0.01768025942744882,-0.09855355617417723,2,5,absolute_atm_iv_change
300,diagnostic_1,surprise,surprise_unit_l2_30s,0.10417767485092894,-0.01768025942744882,-0.09855355617417723,2,5,absolute_atm_iv_change
60,diagnostic_1,surprise,surprise_unit_l2_30s,0.16615853844869913,0.063769348737699,-0.023106508805663922,4,5,surface_displacement
120,diagnostic_1,surprise,surprise_unit_l2_30s,0.16615853844869913,0.063769348737699,-0.023106508805663922,4,5,surface_displacement
300,diagnostic_1,surprise,surprise_unit_l2_30s,0.16615853844869913,0.063769348737699,-0.023106508805663922,4,5,surface_displacement
60,diagnostic_1,surprise,surprise_unit_l2_5s,0.1039931584273474,-0.017828954135232986,-0.09397479562347967,2,5,absolute_atm_iv_change
120,diagnostic_1,surprise,surprise_unit_l2_5s,0.1039931584273474,-0.017828954135232986,-0.09397479562347967,2,5,absolute_atm_iv_change
300,diagnostic_1,surprise,surprise_unit_l2_5s,0.1039931584273474,-0.017828954135232986,-0.09397479562347967,2,5,absolute_atm_iv_change
60,diagnostic_1,surprise,surprise_unit_l2_5s,0.16847861868026245,0.06339109107375412,-0.020926809269573056,4,5,surface_displacement
120,diagnostic_1,surprise,surprise_unit_l2_5s,0.16847861868026245,0.06339109107375412,-0.020926809269573056,4,5,surface_displacement
300,diagnostic_1,surprise,surprise_unit_l2_5s,0.16847861868026245,0.06339109107375412,-0.020926809269573056,4,5,surface_displacement
60,diagnostic_1,surprise,surprise_unit_l2_60s,0.10031207812664229,-0.01785782944709077,-0.09612374499226141,2,5,absolute_atm_iv_change
