session,regime,samples,share,mean_session_fraction,futures_realized_volatility_30s,futures_relative_spread,futures_depth_imbalance,futures_microprice_dislocation,atm_near_straddle_to_future,surface__atm_iv__near,surface__variance_skew__near,surface__variance_curvature__near,surface__fit_rmse_iv__near,surface__parity_residual_rms_to_forward__far
discovery,0,579,0.2311377245508982,0.6802417962003454,0.00012001522390830629,0.00024965946276268603,0.024371340034436275,-0.015750212450101584,0.010022410318667201,0.09729888826763074,-0.0006358767019698174,0.08289227951864916,0.000772591805676061,0.0013727945549452166
discovery,1,682,0.27225548902195607,0.9060768980123818,0.00010915910616683006,0.00010339774862613309,0.021220785089088413,-0.01930860253023612,0.009772583272832492,0.09528067685073771,-0.00041882993311894703,0.0916240810364747,0.0004173118914368281,0.0014135007034028577
discovery,2,772,0.3081836327345309,0.5523511801957398,0.00012788883872855755,0.0003006250046219018,-0.1508101210434839,-0.08721113904654362,0.010049427624241753,0.09710942403717363,-0.0008836145722895373,0.08287921709061595,0.001256053706623826,0.0012650437705994493
discovery,3,472,0.18842315369261478,0.8534472693032016,0.00015231902294945648,0.0001411433893396969,0.1288219761513805,0.04451756981217255,0.009813656227394812,0.09563471473185188,-0.0005867665493774516,0.08924053030056973,0.00048386722647915967,0.0013957275746102145
validation,3,1401,1.0,0.8574875089221984,6.000153372593555e-05,0.00017285848517504504,-0.1778900850136139,-0.13757706257906197,0.006513539837642727,0.07755182400547889,-0.001089422198010477,0.10314048306057914,0.0010105729148520268,0.0008650794373090638
diagnostic_1,0,3,0.0013321492007104796,0.9112592592592593,0.00013329338010710975,0.00014171235670801252,-0.19484500586986542,-0.16666666666666666,0.008992368976275126,0.08622944355010986,-0.005651461736609538,0.11780680840214093,0.016999338443080585,0.0004512520293549945
diagnostic_1,2,2249,0.9986678507992895,0.7275272960822093,0.00011481492228756598,0.00017978713846373586,-0.021571994258903326,0.010493107246075169,0.00955852142192685,0.08583330031751049,-0.007056894630985479,0.2563107136479276,0.018705374624608303,0.00021393613153252933
diagnostic_2,0,18,0.00404767258826175,0.6321111111111112,9.987330203229148e-05,0.00025227048273437604,-0.008027250257631144,-0.2776770111587312,0.008785532632221779,0.09273195390899976,-0.005708053915037049,0.07955397272275554,0.020184718175894685,0.0003463045326902324
diagnostic_2,2,4429,0.9959523274117382,0.5161384812222473,0.0001263905589795243,0.00025211155318023313,0.021429431745830858,-0.06962880155807169,0.009135202354976314,0.08948598834220214,-0.0059771442107291045,0.22145305246316013,0.020551098551837524,0.00017317039736529006
