seed,diagnostic,horizon,target,base_skill,jepa_skill,base_plus_jepa_skill,incremental_jepa_skill,base_r2,base_plus_jepa_r2,incremental_r2,base_plus_jepa_auc,base_plus_jepa_balanced_accuracy
1,diagnostic_1,30s,signed_futures_return,-3.0120901910905884,-0.09469533105684813,-2.76068065295811,0.25140953813247835,-9.040211742280759,-7.987326852425504,1.052884889855255,0.49337004982125565,0.5004488330341114
1,diagnostic_1,30s,absolute_futures_return,-0.2291405430489759,-0.4627021584029023,-0.10850553992403733,0.12063500312493858,-0.2708541984545272,-0.20959250242272098,0.0612616960318062,,
1,diagnostic_1,30s,realized_futures_volatility,-0.5974132107628012,-0.016704542772431497,-0.21016376329566389,0.3872494474671373,-1.3054370394019061,-0.5249839442438853,0.7804530951580209,,
1,diagnostic_1,30s,signed_atm_straddle_change,-0.3342668936937361,-0.0003355083049034757,-0.0657678357822642,0.2684990579114719,-0.4561998132644123,-0.06197605965069641,0.39422375361371587,0.4976349871985546,0.4959891434274736
1,diagnostic_1,30s,absolute_atm_straddle_change,-0.07195381139005108,-0.17262522108202205,0.02751209483723338,0.09946590622728446,-0.602164849341789,-0.4481252382750254,0.15403961106676367,,
1,diagnostic_1,30s,near_atm_spread_change,0.17346675500974795,-0.07263024711615107,0.16697688346078077,-0.006489871548967185,0.32090251828845184,0.30076392096237203,-0.02013859732607981,0.7576317574495606,0.6774983042291736
1,diagnostic_1,30s,signed_atm_iv_change,0.05134946476982827,0.00936614267768443,0.059498365869076864,0.008148901099248596,0.12766044507197893,0.13775649173859472,0.010096046666615788,0.6767437513162285,0.6124242503117538
1,diagnostic_1,30s,absolute_atm_iv_change,0.1905127368780407,0.04465654398192376,0.16290152869757668,-0.02761120818046403,-0.810748215345539,-0.9105035318038512,-0.09975531645831226,,
1,diagnostic_1,30s,surface_displacement,-0.08920792166399427,-0.0688618182331906,0.01322564005006499,0.10243356171405926,-0.6939638892851054,-0.430031687767912,0.26393220151719343,,
1,diagnostic_1,60s,signed_futures_return,-4.268997604436923,-0.0053115189917574135,-24.58474532848278,-20.315747724045856,-18.21455844550589,-401.1498104677622,-382.93525202225635,0.5201325001263711,0.5
1,diagnostic_1,60s,absolute_futures_return,-0.5531316117750269,0.007717081753930932,-3.0260287551258616,-2.472897143350835,-0.9062663443677355,-10.926379170942687,-10.020112826574952,,
1,diagnostic_1,60s,realized_futures_volatility,-1.115888347844991,-0.1859647991040021,-0.2662620396847799,0.8496263081602111,-2.908956720486984,-0.6758438952849548,2.2331128252020296,,
1,diagnostic_1,60s,signed_atm_straddle_change,-0.8883610981694094,-0.001945619904973217,-0.05207351016552764,0.8362875880038818,-1.757446687919133,-0.030796316975904015,1.726650370943229,0.5086731284872571,0.5107486208743575
1,diagnostic_1,60s,absolute_atm_straddle_change,0.12248666938443564,-0.11942462161395073,0.05737410515660313,-0.06511256422783251,-0.38816114633336607,-0.5423376435706198,-0.15417649723725368,,
1,diagnostic_1,60s,near_atm_spread_change,0.2030049006700183,-0.10304531869387024,0.22492267921805265,0.02191777854803434,0.3459064314161113,0.40697821063219275,0.06107177921608142,0.7780475817438961,0.7021876999369668
1,diagnostic_1,60s,signed_atm_iv_change,0.07452552389352973,0.003984228749950858,0.06331727752903149,-0.011208246364498242,0.1652711003564824,0.14230586936070178,-0.022965230995780628,0.6921780350832912,0.6274372160524988
1,diagnostic_1,60s,absolute_atm_iv_change,0.18918687137651236,0.03807898526204856,0.15271756076237186,-0.03646931061414049,-0.8008217996497669,-0.9493819317911276,-0.14856013214136077,,
1,diagnostic_1,60s,surface_displacement,-0.07060685397559308,-0.06060092500086656,-0.02521984390964427,0.04538701006594881,-0.6316654664623691,-0.585552530246537,0.04611293621583212,,
1,diagnostic_1,300s,signed_futures_return,-0.5997454387911463,-0.33379366898592866,-0.020181858889123827,0.5795635799020225,-0.9913267394704428,-0.02795654771335121,0.9633701917570916,0.6479648165479608,0.6237599340111991
1,diagnostic_1,300s,absolute_futures_return,-3.503607585509127,0.017842671135585686,-3.8563844077000073,-0.35277682219088025,-11.555519905729273,-13.485857599043777,-1.9303376933145042,,
1,diagnostic_1,300s,realized_futures_volatility,-6.476770550293314,-0.2342925961303457,-12.230345987191134,-5.75357543689782,-40.55689736935779,-126.92184018755013,-86.36494281819233,,
1,diagnostic_1,300s,signed_atm_straddle_change,-0.25511928833050757,0.012013865719140093,-0.030125732597327426,0.22499355573318014,-0.5688893322951045,-0.07487384162556121,0.4940154906695433,0.5610976819016291,0.5310890403048851
1,diagnostic_1,300s,absolute_atm_straddle_change,-0.015599854638168598,0.06861126385135707,0.15190697456762103,0.16750682920578963,-1.2157157965506538,-0.6578954541956143,0.5578203423550394,,
1,diagnostic_1,300s,near_atm_spread_change,-0.3788279593517878,-0.20703289384910728,-0.18098389723698016,0.19784406211480765,-0.6125029704726055,-0.20199972100786234,0.41050324946474315,0.7748482064203237,0.608636210070316
1,diagnostic_1,300s,signed_atm_iv_change,-0.005698170832968641,0.004480708356623397,0.024864560635775246,0.030562731468743887,0.042604435612217495,0.08810871483956517,0.04550427922734768,0.6923738975402722,0.5882898660481848
1,diagnostic_1,300s,absolute_atm_iv_change,0.12613029448532298,0.06947196667635558,0.16377217025756263,0.03764187577223965,-0.9210074696001365,-0.7957557526170216,0.12525171698311488,,
1,diagnostic_1,300s,surface_displacement,0.12437596772234016,-0.09839021927103242,0.07572916698702947,-0.04864680073531069,-0.3242646127077704,-0.444529653468813,-0.12026504076104261,,
1,diagnostic_2,30s,signed_futures_return,-2.8969206993788954,-0.0338907352087523,-2.6028417736738247,0.29407892570507066,-9.104504757471586,-7.889796115757191,1.2147086417143953,0.5109778157107874,0.49897205891463764
1,diagnostic_2,30s,absolute_futures_return,-0.244145025579261,-0.3219391704154604,-0.20510537680037033,0.03903964877889066,-0.40745465905608724,-0.40439534555884205,0.0030593134972451974,,
1,diagnostic_2,30s,realized_futures_volatility,-0.6233649288031506,0.008194119113602683,-0.3823921453556942,0.24097278344745643,-1.3542506833445622,-1.0238774602476473,0.33037322309691497,,
1,diagnostic_2,30s,signed_atm_straddle_change,-0.22831582483117718,-0.00044607630263082676,-0.04673566210684221,0.18158016272433497,-0.08793318413626494,0.037748860070451085,0.12568204420671603,0.5522153892147407,0.5370570365956364
1,diagnostic_2,30s,absolute_atm_straddle_change,-0.06734775002672144,-0.10417669896894433,0.02812222942672793,0.09546997945344937,-0.28641572908866153,-0.214794882183023,0.07162084690563852,,
1,diagnostic_2,30s,near_atm_spread_change,0.16481793905250308,0.03661976664861377,0.15712043321847724,-0.007697505834025842,0.2880589672439615,0.27325824013110633,-0.014800727112855183,0.7527169954844871,0.6778123836729408
1,diagnostic_2,30s,signed_atm_iv_change,0.08138523026992162,0.011445926470249668,0.08623873901241674,0.004853508742495127,0.1812668992233566,0.18542223794492696,0.004155338721570367,0.7165081699822329,0.6501621577232142
1,diagnostic_2,30s,absolute_atm_iv_change,0.19453309243206562,0.03746095292477192,0.1639409928317922,-0.030592099600273426,-0.8752489644315176,-0.9848821187546528,-0.10963315432313525,,
1,diagnostic_2,30s,surface_displacement,-0.12138007816571239,-0.08137499316696983,-0.015891914646387173,0.10548816351932522,-0.7804242599424567,-0.5029236858469233,0.2775005740955334,,
1,diagnostic_2,60s,signed_futures_return,-6.405929034309747,-0.000974119952876551,-24.512725828074984,-18.106796793765238,-36.46048810432504,-386.7312356904824,-350.2707475861573,0.4919375373026398,0.49654310199076424
1,diagnostic_2,60s,absolute_futures_return,-0.5410630285827911,0.01721273970587245,-4.316825252868592,-3.7757622242858013,-1.0317765081840538,-17.224878565501992,-16.193102057317937,,
1,diagnostic_2,60s,realized_futures_volatility,-0.8480260249672458,-0.09827459404434857,-0.3711636095800557,0.4768624153871901,-2.2430573210550278,-1.0659100559875823,1.1771472650674455,,
1,diagnostic_2,60s,signed_atm_straddle_change,-0.7157488687669171,-0.004811743951798286,-0.08815322100615242,0.6275956477607647,-0.5782937582884171,-0.019399035973187706,0.5588947223152294,0.5349738255958121,0.5083151341539509
1,diagnostic_2,60s,absolute_atm_straddle_change,0.08835353135055202,-0.07983951852419358,0.06712285308630095,-0.02123067826425107,-0.2319092469804338,-0.2780336983759937,-0.04612445139555987,,
1,diagnostic_2,60s,near_atm_spread_change,0.1517920938813453,0.012013888441856357,0.1707294952054086,0.018937401324063297,0.27506119589269473,0.3223527469216475,0.04729155102895277,0.7737336330584506,0.7081244603693643
1,diagnostic_2,60s,signed_atm_iv_change,0.10086934752608179,0.004519446826485862,0.08351988592719017,-0.017349461598891613,0.20732781554288437,0.1833303195263588,-0.023997496016525566,0.7091998982189531,0.6536391174175447
1,diagnostic_2,60s,absolute_atm_iv_change,0.19752736458808862,0.03155565546364425,0.15254931519762216,-0.04497804939046646,-0.8015456034787578,-0.9742247501723669,-0.17267914669360906,,
1,diagnostic_2,60s,surface_displacement,-0.13715505851242016,-0.06927537085338331,-0.07415950923915915,0.06299554927326101,-0.7913166350122174,-0.7068901807634047,0.08442645424881268,,
1,diagnostic_2,300s,signed_futures_return,-0.6602427152389865,-0.48525061425560856,-0.16745775062451984,0.49278496461446664,-1.598299901780977,-0.3591539887378934,1.2391459130430835,0.469916431641499,0.4725711579889478
