coverage,eligible,feature_name,finite_count,fold_id,gate_reason,gate_reason_count,maximum,minimum,retained,training_row_count
1.0,True,ccz_ofi_w1__m200__average,2712,outer_01,,,7.187521426122729,-7.281044964786613,True,2712
1.0,True,ofi__w1__average_m5_minus_m20,2712,outer_01,,,5.200112829011159,-4.889266931527027,True,2712
1.0,True,ofi__w1__average_m20_minus_m200,2712,outer_01,,,6.878847432803031,-7.766493925863397,True,2712
1.0,True,ccz_ofi_w2__m1__average,2712,outer_01,,,8.516129032258064,-14.08695652173913,True,2712
1.0,True,ccz_ofi_w2__m5__average,2712,outer_01,,,5.877551020408164,-9.313304721030043,True,2712
1.0,True,ccz_ofi_w2__m10__average,2712,outer_01,,,11.067761806981519,-11.169230769230769,True,2712
1.0,True,ccz_ofi_w2__m20__average,2712,outer_01,,,11.21858500527983,-11.688034188034187,True,2712
1.0,True,ccz_ofi_w2__m50__average,2712,outer_01,,,8.107991360691145,-9.760125835627212,True,2712
1.0,True,ccz_ofi_w2__m100__average,2712,outer_01,,,7.392672282553536,-7.2155600268276325,True,2712
1.0,True,ccz_ofi_w2__m200__average,2712,outer_01,,,7.84785748675975,-7.52595999721235,True,2712
1.0,True,ofi__w2__average_m5_minus_m20,2712,outer_01,,,6.348033973970637,-6.724034533328677,True,2712
1.0,True,ofi__w2__average_m20_minus_m200,2712,outer_01,,,10.606440395525924,-10.74151997940013,True,2712
1.0,True,ccz_ofi_w5__m1__average,2712,outer_01,,,11.428571428571429,-18.106194690265486,True,2712
1.0,True,ccz_ofi_w5__m5__average,2712,outer_01,,,11.845,-11.500000000000002,True,2712
1.0,True,ccz_ofi_w5__m10__average,2712,outer_01,,,16.091170825335894,-16.22047244094488,True,2712
1.0,True,ccz_ofi_w5__m20__average,2712,outer_01,,,15.785398981324278,-18.043425814234016,True,2712
1.0,True,ccz_ofi_w5__m50__average,2712,outer_01,,,15.135601529561722,-14.782464846980975,True,2712
1.0,True,ccz_ofi_w5__m100__average,2712,outer_01,,,12.372300308536166,-8.848601540332389,True,2712
1.0,True,ccz_ofi_w5__m200__average,2712,outer_01,,,11.382483856811485,-9.102595498835905,True,2712
1.0,True,ofi__w5__average_m5_minus_m20,2712,outer_01,,,11.366114593034474,-9.706089998629423,True,2712
1.0,True,ofi__w5__average_m20_minus_m200,2712,outer_01,,,12.453249398475885,-15.88301805748201,True,2712
1.0,True,ccz_ofi_w10__m1__average,2712,outer_01,,,12.88,-22.615384615384613,True,2712
1.0,True,ccz_ofi_w10__m5__average,2712,outer_01,,,12.488219895287958,-15.248962655601659,True,2712
1.0,True,ccz_ofi_w10__m10__average,2712,outer_01,,,16.911906575272916,-26.30069810999489,True,2712
1.0,True,ccz_ofi_w10__m20__average,2712,outer_01,,,18.71512113617377,-27.27952576379389,True,2712
1.0,True,ccz_ofi_w10__m50__average,2712,outer_01,,,15.866601187553018,-19.057958560106943,True,2712
1.0,True,ccz_ofi_w10__m100__average,2712,outer_01,,,13.487633870097852,-10.782192090395482,True,2712
1.0,True,ccz_ofi_w10__m200__average,2712,outer_01,,,14.2423878445739,-11.209959411759844,True,2712
1.0,True,ofi__w10__average_m5_minus_m20,2712,outer_01,,,16.913276565838093,-13.439695312409281,True,2712
1.0,True,ofi__w10__average_m20_minus_m200,2712,outer_01,,,17.827306563733703,-29.470059987133695,True,2712
0.9347345132743363,True,ccz_ofi_w30__m1__average,2535,outer_01,,,15.76158940397351,-35.27581699346405,True,2712
0.9347345132743363,True,ccz_ofi_w30__m5__average,2535,outer_01,,,22.31424332344214,-36.60132340777502,True,2712
0.9347345132743363,True,ccz_ofi_w30__m10__average,2535,outer_01,,,29.754749078536996,-55.874991986665805,True,2712
0.9347345132743363,True,ccz_ofi_w30__m20__average,2535,outer_01,,,34.28465654374548,-59.21381794368042,True,2712
0.9347345132743363,True,ccz_ofi_w30__m50__average,2535,outer_01,,,31.485428175744573,-44.71340380040353,True,2712
0.9347345132743363,True,ccz_ofi_w30__m100__average,2535,outer_01,,,23.46575258049607,-28.20466608172835,True,2712
0.9347345132743363,True,ccz_ofi_w30__m200__average,2535,outer_01,,,22.573356798530877,-15.920943162576764,True,2712
0.9347345132743363,True,ofi__w30__average_m5_minus_m20,2535,outer_01,,,24.576459758915426,-21.900035375443508,True,2712
0.9347345132743363,True,ofi__w30__average_m20_minus_m200,2535,outer_01,,,32.636963087508256,-45.65669742856995,True,2712
0.42404129793510326,False,surface__2026_08_25__theta,1150,outer_01,,,7.396478676170304e-05,7.257671773308079e-05,False,2712
0.42404129793510326,False,surface__2026_08_25__rho,1150,outer_01,,,-0.14736072755084448,-0.29991449047705515,False,2712
0.42404129793510326,False,surface__2026_08_25__psi,1150,outer_01,,,0.015961200825667873,0.014944380760759345,False,2712
0.42404129793510326,False,surface__2026_08_25__atm_iv,1150,outer_01,,,0.08153326251124347,0.0805475807538142,False,2712
0.42404129793510326,False,surface__2026_08_25__atm_skew,1150,outer_01,,,-1.3019544811459152,-2.495901417248655,False,2712
0.42404129793510326,False,surface__2026_08_25__atm_curvature,1150,outer_01,,,923.0150192899263,695.4021280298458,False,2712
0.42404129793510326,False,surface__2026_09_01__theta,1150,outer_01,,,0.00017726034220871055,0.0001364765036584547,False,2712
0.42404129793510326,False,surface__2026_09_01__rho,1150,outer_01,,,-0.1307050138550853,-0.29985807603019754,False,2712
0.42404129793510326,False,surface__2026_09_01__psi,1150,outer_01,,,0.02076709328695373,0.016918963059509955,False,2712
0.42404129793510326,False,surface__2026_09_01__atm_iv,1150,outer_01,,,0.07642164495639282,0.0671448268847355,False,2712
0.42404129793510326,False,surface__2026_09_01__atm_skew,1150,outer_01,,,-0.5728247132663808,-1.3630822106885137,False,2712
0.42404129793510326,False,surface__2026_09_01__atm_curvature,1150,outer_01,,,369.6324216818406,142.76232660160795,False,2712
0.42404129793510326,False,surface__2026_09_29__theta,1150,outer_01,,,0.0009132460170038093,0.0008966067544653801,False,2712
0.42404129793510326,False,surface__2026_09_29__rho,1150,outer_01,,,-0.26998789180863053,-0.2999176802725298,False,2712
0.42404129793510326,False,surface__2026_09_29__psi,1150,outer_01,,,0.025815401406811007,0.02457025661387371,False,2712
0.42404129793510326,False,surface__2026_09_29__atm_iv,1150,outer_01,,,0.09238163856609823,0.09156782537916232,False,2712
0.42404129793510326,False,surface__2026_09_29__atm_skew,1150,outer_01,,,-0.3529349652505645,-0.38417873649063505,False,2712
0.42404129793510326,False,surface__2026_09_29__atm_curvature,1150,outer_01,,,16.102265195029183,13.710994034269131,False,2712
0.42404129793510326,False,surface__term_2026_09_01_minus_2026_08_25__atm_iv,1150,outer_01,,,-0.004125935797421376,-0.014361381877803017,False,2712
0.42404129793510326,False,surface__term_2026_09_01_minus_2026_08_25__atm_skew,1150,outer_01,,,1.3932147927058063,0.5525807207255672,False,2712
0.42404129793510326,False,surface__term_2026_09_01_minus_2026_08_25__atm_curvature,1150,outer_01,,,-455.26794975338487,-621.9061594164771,False,2712
0.42404129793510326,False,surface__term_2026_09_29_minus_2026_09_01__atm_iv,1150,outer_01,,,0.024489227812590636,0.015689757614676322,False,2712
0.42404129793510326,False,surface__term_2026_09_29_minus_2026_09_01__atm_skew,1150,outer_01,,,0.9824792753503904,0.20127496047957966,False,2712
0.42404129793510326,False,surface__term_2026_09_29_minus_2026_09_01__atm_curvature,1150,outer_01,,,-128.5998862631239,-354.1946640456324,False,2712
0.42404129793510326,False,surface__2026_08_25__theta__delta_1f,1150,outer_01,,,8.225368845206599e-07,-8.295543854306439e-07,False,2712
0.42404129793510326,False,surface__2026_08_25__rho__delta_1f,1150,outer_01,,,0.14768336718596312,-0.1472388170379983,False,2712
0.42404129793510326,False,surface__2026_08_25__psi__delta_1f,1150,outer_01,,,0.000904179671803949,-0.0008911684134340347,False,2712
0.42404129793510326,False,surface__2026_08_25__atm_iv__delta_1f,1150,outer_01,,,0.000454643465353205,-0.00045730338308828944,False,2712
0.42404129793510326,False,surface__2026_08_25__atm_skew__delta_1f,1150,outer_01,,,1.146307769007906,-1.1428854192321973,False,2712
0.42404129793510326,False,surface__2026_08_25__atm_curvature__delta_1f,1150,outer_01,,,219.5099077619244,-219.33010785663112,False,2712
0.42404129793510326,False,surface__2026_09_01__theta__delta_1f,1150,outer_01,,,1.5947699082845637e-05,-1.846540268186285e-05,False,2712
0.42404129793510326,False,surface__2026_09_01__rho__delta_1f,1150,outer_01,,,0.1688972088340002,-0.16793088082308297,False,2712
0.42404129793510326,False,surface__2026_09_01__psi__delta_1f,1150,outer_01,,,0.0018984640522514175,-0.0015808382816146216,False,2712
0.42404129793510326,False,surface__2026_09_01__atm_iv__delta_1f,1150,outer_01,,,0.0037152017990818853,-0.00428393267454194,False,2712
0.42404129793510326,False,surface__2026_09_01__atm_skew__delta_1f,1150,outer_01,,,0.675786365701321,-0.6798969978256569,False,2712
0.42404129793510326,False,surface__2026_09_01__atm_curvature__delta_1f,1150,outer_01,,,130.68359019436687,-130.597759688386,False,2712
