cluster_ids,comparison_id,comparison_kind,delta_oos_r_squared,direction,evaluation_rows,fold_id,model_kind,paired_loss_blocks,permutation_repeat,permutation_seed,training_rows
"[""cluster__09e103f2030ca53e""]",cluster__09e103f2030ca53e,block_permutation,0.0015352813049454017,positive,1418,outer_03,shallow_gradient_boosting,142,8,51202636,5544
"[""cluster__09e103f2030ca53e""]",cluster__09e103f2030ca53e,block_permutation,-0.0003222940690543741,negative,1418,outer_03,shallow_gradient_boosting,142,9,51202637,5544
"[""cluster__0ddaa772748cd2a8""]",cluster__0ddaa772748cd2a8,block_permutation,0.005732993193214853,positive,1418,outer_03,shallow_gradient_boosting,142,0,51202638,5544
"[""cluster__0ddaa772748cd2a8""]",cluster__0ddaa772748cd2a8,block_permutation,-6.385997872437876e-05,negative,1418,outer_03,shallow_gradient_boosting,142,1,51202639,5544
"[""cluster__0ddaa772748cd2a8""]",cluster__0ddaa772748cd2a8,block_permutation,-0.0014605936471399072,negative,1418,outer_03,shallow_gradient_boosting,142,2,51202640,5544
"[""cluster__0ddaa772748cd2a8""]",cluster__0ddaa772748cd2a8,block_permutation,0.0005454305495815603,positive,1418,outer_03,shallow_gradient_boosting,142,3,51202641,5544
"[""cluster__0ddaa772748cd2a8""]",cluster__0ddaa772748cd2a8,block_permutation,-0.000782299657325014,negative,1418,outer_03,shallow_gradient_boosting,142,4,51202642,5544
"[""cluster__0ddaa772748cd2a8""]",cluster__0ddaa772748cd2a8,block_permutation,-0.0005018921242787577,negative,1418,outer_03,shallow_gradient_boosting,142,5,51202643,5544
"[""cluster__0ddaa772748cd2a8""]",cluster__0ddaa772748cd2a8,block_permutation,-0.002048578115574351,negative,1418,outer_03,shallow_gradient_boosting,142,6,51202644,5544
"[""cluster__0ddaa772748cd2a8""]",cluster__0ddaa772748cd2a8,block_permutation,0.007737740287374839,positive,1418,outer_03,shallow_gradient_boosting,142,7,51202645,5544
"[""cluster__0ddaa772748cd2a8""]",cluster__0ddaa772748cd2a8,block_permutation,-0.0007059600123215937,negative,1418,outer_03,shallow_gradient_boosting,142,8,51202646,5544
"[""cluster__0ddaa772748cd2a8""]",cluster__0ddaa772748cd2a8,block_permutation,0.0006761003242987673,positive,1418,outer_03,shallow_gradient_boosting,142,9,51202647,5544
"[""cluster__11a9adfe78800106""]",cluster__11a9adfe78800106,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,0,51202648,5544
"[""cluster__11a9adfe78800106""]",cluster__11a9adfe78800106,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,1,51202649,5544
"[""cluster__11a9adfe78800106""]",cluster__11a9adfe78800106,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,2,51202650,5544
"[""cluster__11a9adfe78800106""]",cluster__11a9adfe78800106,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,3,51202651,5544
"[""cluster__11a9adfe78800106""]",cluster__11a9adfe78800106,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,4,51202652,5544
"[""cluster__11a9adfe78800106""]",cluster__11a9adfe78800106,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,5,51202653,5544
"[""cluster__11a9adfe78800106""]",cluster__11a9adfe78800106,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,6,51202654,5544
"[""cluster__11a9adfe78800106""]",cluster__11a9adfe78800106,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,7,51202655,5544
"[""cluster__11a9adfe78800106""]",cluster__11a9adfe78800106,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,8,51202656,5544
"[""cluster__11a9adfe78800106""]",cluster__11a9adfe78800106,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,9,51202657,5544
"[""cluster__183ba54d92e73c9e""]",cluster__183ba54d92e73c9e,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,0,51202658,5544
"[""cluster__183ba54d92e73c9e""]",cluster__183ba54d92e73c9e,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,1,51202659,5544
"[""cluster__183ba54d92e73c9e""]",cluster__183ba54d92e73c9e,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,2,51202660,5544
