removed_best_trades,n,mean,median,win_rate,total,p_one_sided,iid_ci_lo,iid_ci_hi,block4_ci_lo,block4_ci_hi,worst,best
0,52,26.59903846153845,52.525,0.5769230769230769,1383.1499999999994,0.10129066088506783,-13.534687499999853,66.35983173076905,-9.874062500000061,62.56444711538453,-257.8,272.35000000000076
1,51,21.780392156862714,51.15000000000144,0.5686274509803921,1110.7999999999984,0.1457673058359927,-17.945147058823437,61.38737745098042,-17.766740196078267,60.89024509803905,-257.8,265.29999999999853
3,49,12.157142857142821,46.55000000000069,0.5510204081632653,595.6999999999982,0.2739036500438903,-27.217627551020353,50.41344387755099,-26.84701530612239,51.25331632653048,-257.8,243.55000000000143
5,47,2.8968085106382007,21.299999999999272,0.5319148936170213,136.14999999999543,0.44222607537206177,-35.87484042553198,40.68635638297854,-35.36914893617022,41.63635638297857,-257.8,190.89999999999924
