year,n,mean,median,win_rate,total,p_one_sided,iid_ci_lo,iid_ci_hi,block4_ci_lo,block4_ci_hi,worst,best
2024,19,15.581578947368385,61.05000000000075,0.5263157894736842,296.04999999999933,0.3313918583814562,-53.18763157894723,80.70006578947323,-43.297368421052326,75.66624999999979,-257.8,190.89999999999924
2025,20,31.922499999999882,48.85000000000107,0.65,638.4499999999977,0.17980926553853366,-33.90768749999992,95.70256249999963,-30.875875000000004,92.0381249999998,-208.95,272.35000000000076
2026,13,34.511538461538635,53.899999999998556,0.5384615384615384,448.65000000000225,0.2074864142589605,-42.93480769230742,110.39653846153878,-9.885288461538343,76.3056730769231,-203.60000000000002,249.80000000000155
