execution,cost_points,n,mean,median,win_rate,total,p_one_sided,iid_ci_lo,iid_ci_hi,block4_ci_lo,block4_ci_hi,worst,best
0920_open,6.0,52,26.59903846153845,52.525,0.5769230769230769,1383.1499999999994,0.10129066088506783,-13.534687499999853,66.35983173076905,-9.874062500000061,62.56444711538453,-257.8,272.35000000000076
0920_open,10.0,52,22.59903846153845,48.525,0.5769230769230769,1175.1499999999994,0.13895793949993443,-17.534687499999855,62.359831730769045,-13.874062500000058,58.56444711538453,-261.8,268.35000000000076
0920_open,15.0,52,17.599038461538445,43.525,0.5769230769230769,915.1499999999992,0.19852963938110738,-22.534687499999855,57.359831730769045,-18.87406250000006,53.56444711538453,-266.8,263.35000000000076
0920_open,20.0,52,12.599038461538445,38.525,0.5769230769230769,655.1499999999992,0.27181728491585405,-27.534687499999848,52.359831730769045,-23.87406250000006,48.56444711538452,-271.8,258.35000000000076
0920_close,6.0,52,26.92596153846153,48.524999999999665,0.5769230769230769,1400.1499999999994,0.0981558608425393,-13.144302884615346,66.57122596153847,-9.351009615384568,62.69139423076918,-259.29999999999995,272.4000000000007
0920_close,10.0,52,22.92596153846153,44.524999999999665,0.5769230769230769,1192.1499999999994,0.13508753045213195,-17.14430288461535,62.571225961538474,-13.351009615384568,58.69139423076918,-263.29999999999995,268.4000000000007
0920_close,15.0,52,17.92596153846153,39.524999999999665,0.5769230769230769,932.1499999999994,0.1937433802398358,-22.14430288461535,57.571225961538474,-18.351009615384566,53.69139423076918,-268.29999999999995,263.4000000000007
0920_close,20.0,52,12.925961538461527,34.524999999999665,0.5769230769230769,672.1499999999994,0.2662335612310565,-27.144302884615346,52.571225961538474,-23.351009615384566,48.69139423076918,-273.29999999999995,258.4000000000007
0921_open,6.0,52,26.649999999999995,48.89999999999968,0.5769230769230769,1385.7999999999997,0.10038937798605223,-13.373389423076677,66.28598557692314,-9.727932692307718,62.45673076923061,-258.20000000000005,271.2000000000008
0921_open,10.0,52,22.649999999999995,44.89999999999968,0.5769230769230769,1177.7999999999997,0.13791316865079734,-17.373389423076677,62.285985576923146,-13.727932692307718,58.45673076923061,-262.20000000000005,267.2000000000008
0921_open,15.0,52,17.649999999999995,39.89999999999968,0.5769230769230769,917.7999999999997,0.1973475819327353,-22.37338942307668,57.285985576923146,-18.727932692307714,53.45673076923061,-267.20000000000005,262.2000000000008
0921_open,20.0,52,12.649999999999995,34.89999999999968,0.5769230769230769,657.7999999999997,0.27057321966900166,-27.37338942307668,52.285985576923146,-23.72793269230771,48.45673076923061,-272.20000000000005,257.2000000000008
