iv_regime,n,mean,median,win_rate,total,p_one_sided,iid_ci_lo,iid_ci_hi,block4_ci_lo,block4_ci_hi,worst,best
high,27,10.653703703703785,46.55000000000069,0.5185185185185185,287.6500000000022,0.3460145735574277,-40.06666666666626,61.50023148148148,-28.401898148148046,54.54268518518513,-257.8,249.80000000000155
low,5,14.829999999999405,90.94999999999999,0.6,74.14999999999702,0.42001006529023716,-119.37000000000027,126.20999999999913,-59.390000000000306,89.04999999999912,-208.95,162.14999999999853
middle,20,51.06750000000001,81.47499999999968,0.65,1021.3500000000003,0.09073428582474255,-20.76556249999996,119.79081250000013,-3.956187499999918,105.10750000000016,-205.05,272.35000000000076
