gate_mode,n,mean,median,win_rate,total,p_one_sided,iid_ci_lo,iid_ci_hi,block4_ci_lo,block4_ci_hi,worst,best
none,115,-16.150869565217416,22.049999999999272,0.5043478260869565,-1857.3500000000029,0.8448404107834749,-46.83660869565217,14.97713043478256,-47.520869565217325,15.415489130434784,-284.05,300.50000000000074
q_only,68,7.5985294117647655,33.92499999999998,0.5294117647058824,516.700000000004,0.35723831142501034,-32.50825367647073,47.86102941176481,-32.20830882352929,45.68678308823533,-275.80000000000007,300.50000000000074
rr_only,107,-16.74158878504688,-8.999999999999261,0.4953271028037383,-1791.350000000016,0.8603037390939277,-47.029182242990835,13.377301401868925,-48.36079439252367,14.754392523364224,-306.55,272.35000000000076
both,52,26.59903846153845,52.525,0.5769230769230769,1383.1499999999994,0.10129066088506783,-13.534687499999853,66.35983173076905,-9.874062500000061,62.56444711538453,-257.8,272.35000000000076
