cluster_id,family,fold_id,member_count,members,model_features,representation
cluster__7533afca12d5c845,mixed:interaction+ofi,outer_01,3,"[""ccz_ofi_w10__m10__average"", ""interaction__ofi_w10_m10_x_inverse_l1_depth"", ""interaction__ofi_w10_m10_x_spread""]","[""cluster__7533afca12d5c845""]",representative
cluster__75ae125737df1102,ofi,outer_01,2,"[""ccz_ofi_w2__m20__average"", ""ccz_ofi_w2__m50__average""]","[""cluster__75ae125737df1102""]",representative
cluster__773984b00b5c1f1c,ofi,outer_01,1,"[""ofi__w5__average_m5_minus_m20""]","[""cluster__773984b00b5c1f1c""]",representative
cluster__7cc2e09b9a932b39,book_liquidity,outer_01,2,"[""lob__curvature_asymmetry_ask_minus_bid"", ""lob__slope_asymmetry_ask_minus_bid""]","[""cluster__7cc2e09b9a932b39""]",representative
cluster__84da565ba8281d2a,ofi,outer_01,1,"[""ofi__w1__average_m20_minus_m200""]","[""cluster__84da565ba8281d2a""]",representative
cluster__87f626d156f0ac67,ofi,outer_01,1,"[""ccz_ofi_w30__m10__average""]","[""cluster__87f626d156f0ac67""]",representative
cluster__8b57524bef0d2ebf,ofi,outer_01,2,"[""ccz_ofi_w30__m20__average"", ""ccz_ofi_w30__m50__average""]","[""cluster__8b57524bef0d2ebf""]",representative
cluster__8c29a8ea6225c377,ofi,outer_01,1,"[""ccz_ofi_w1__m1__average""]","[""cluster__8c29a8ea6225c377""]",representative
cluster__959b637bd3bb66d4,ofi,outer_01,2,"[""ccz_ofi_w1__m100__average"", ""ccz_ofi_w1__m200__average""]","[""cluster__959b637bd3bb66d4""]",representative
cluster__962c08b556b1c862,surface_quality,outer_01,2,"[""quality__2026-08-25__quote_count"", ""quality__smoothing_component_count""]","[""cluster__962c08b556b1c862""]",representative
cluster__9ca9e2709e5c747a,surface_quality,outer_01,1,"[""quality__stale_instrument_count""]","[""cluster__9ca9e2709e5c747a""]",representative
cluster__a1e835b95b16e9e9,book_liquidity,outer_01,1,"[""lob__quantity_imbalance_l5""]","[""cluster__a1e835b95b16e9e9""]",representative
