axis,correlation,directional_accuracy,fold_id,mae,model_id,mse,oos_r2_vs_training_mean,oos_r2_vs_zero,regime,rows
volatility,,0.19557195571955718,outer_01,19.07380073800475,zero_return,1084.4022140220727,0.0028313011076742667,0.0,high_gt_5,271
volatility,,0.19402985074626866,outer_01,12.776119402987753,zero_return,583.3930348259449,0.0037890975770519253,0.0,low_le_1,201
volatility,,0.2892249527410208,outer_01,9.614366729681775,zero_return,312.0151228733957,-0.016512688463483638,0.0,medium_le_5,529
volatility,,0.43373493975903615,outer_01,5.966265060240754,zero_return,141.166265060227,0.007106438276406779,0.0,zero,415
spread,,0.3001412429378531,outer_01,10.804378531074432,zero_return,448.28742937854315,-0.001548655746824501,0.0,wide_gt_2,1416
time_phase,,0.3001412429378531,outer_01,10.804378531074432,zero_return,448.28742937854315,-0.001548655746824501,0.0,close_after_300m,1416
volatility,2.2314127340987084e-17,0.3763837638376384,outer_01,19.282106858676567,training_mean,1087.4812007503322,0.0,-0.0028393401345423452,high_gt_5,271
volatility,,0.40298507462686567,outer_01,12.93959956853171,training_mean,585.6119757443304,0.0,-0.0038035094454760277,low_le_1,201
volatility,,0.4120982986767486,outer_01,9.762490171808341,training_mean,306.94660914171584,0.0,0.01624444893889465,medium_le_5,529
volatility,,0.30120481927710846,outer_01,6.301255464334996,training_mean,142.17663453791798,0.0,-0.00715730119557878,zero,415
spread,-3.035950691475662e-17,0.3714689265536723,outer_01,11.020966660001314,training_mean,447.59425995561725,0.0,0.0015462611206539245,wide_gt_2,1416
time_phase,-3.035950691475662e-17,0.3714689265536723,outer_01,11.020966660001314,training_mean,447.59425995561725,0.0,0.0015462611206539245,close_after_300m,1416
volatility,0.15270906370430148,0.3874538745387454,outer_01,24.958120470728243,simple_state,1236.0343966432515,-0.13660300131204273,-0.1398302038307091,high_gt_5,271
volatility,0.16511910107985078,0.40298507462686567,outer_01,17.27037720561566,simple_state,664.1428138507911,-0.13410046474313586,-0.13841402657290525,low_le_1,201
volatility,0.028157074678570027,0.4102079395085066,outer_01,13.125501572953732,simple_state,342.0390682312607,-0.11432756721981852,-0.09622592995291357,medium_le_5,529
volatility,-0.17099943378760515,0.30120481927710846,outer_01,11.51341968228237,simple_state,239.3977801794576,-0.6838053661736601,-0.6958568683340969,zero,415
spread,0.07513785895456508,0.3728813559322034,outer_01,15.505971727497041,simple_state,528.7759695926144,-0.18137343773141112,-0.17954672591567378,wide_gt_2,1416
time_phase,0.07513785895456508,0.3728813559322034,outer_01,15.505971727497041,simple_state,528.7759695926144,-0.18137343773141112,-0.17954672591567378,close_after_300m,1416
volatility,0.34701114376938524,0.46494464944649444,outer_01,20.782427422423353,elastic_net__a1__l10.9,965.3212709491222,0.11233291179371463,0.1098125230040583,high_gt_5,271
volatility,0.2744548073008829,0.42786069651741293,outer_01,12.759846265699233,elastic_net__a1__l10.9,538.7344699897906,0.08004874848223009,0.07654970520770477,low_le_1,201
volatility,0.018075921923481127,0.46313799621928164,outer_01,10.763998691899323,elastic_net__a1__l10.9,367.7012212412479,-0.19793218198244333,-0.1784724338199708,medium_le_5,529
volatility,0.18699484730100513,0.344578313253012,outer_01,7.122916678850646,elastic_net__a1__l10.9,140.20075075900505,0.013897387466897504,0.006839554059250963,zero,415
spread,0.21160363110827585,0.423728813559322,outer_01,11.8975513139972,elastic_net__a1__l10.9,439.678637356474,0.017684817048208235,0.019203732823834585,wide_gt_2,1416
time_phase,0.21160363110827585,0.423728813559322,outer_01,11.8975513139972,elastic_net__a1__l10.9,439.678637356474,0.017684817048208235,0.019203732823834585,close_after_300m,1416
volatility,0.4340947580146422,0.41697416974169743,outer_01,19.712463960520036,boosted_tree__d3__l8__lr0.05__n50__stop35,917.0093541157569,0.15675843087398145,0.15436418124364748,high_gt_5,271
volatility,0.3113556975004248,0.417910447761194,outer_01,12.666768698084104,boosted_tree__d3__l8__lr0.05__n50__stop35,526.5514424558598,0.10085267333101033,0.09743275798115025,low_le_1,201
volatility,-0.039786043149375984,0.42722117202268434,outer_01,11.828340374262298,boosted_tree__d3__l8__lr0.05__n50__stop35,423.27524991433893,-0.37898656413863385,-0.3565856873100619,medium_le_5,529
volatility,0.03755552961367112,0.25542168674698795,outer_01,7.274702715138776,boosted_tree__d3__l8__lr0.05__n50__stop35,151.46602023837843,-0.06533693620369818,-0.07296187353088324,zero,415
spread,0.1857189828247764,0.3735875706214689,outer_01,12.121675089253657,boosted_tree__d3__l8__lr0.05__n50__stop35,452.76651165438574,-0.01155567030569471,-0.009991541101324053,wide_gt_2,1416
time_phase,0.1857189828247764,0.3735875706214689,outer_01,12.121675089253657,boosted_tree__d3__l8__lr0.05__n50__stop35,452.76651165438574,-0.01155567030569471,-0.009991541101324053,close_after_300m,1416
volatility,,0.13333333333333333,outer_02,13.002666666667597,zero_return,360.8266666667493,-0.002719644351916406,0.0,high_gt_5,375
volatility,,0.13818181818181818,outer_02,7.890909090905652,zero_return,155.8836363636043,-0.0016105369618026888,0.0,low_le_1,275
volatility,,0.13627254509018036,outer_02,11.286573146290923,zero_return,316.8376753507237,0.013019890052562766,0.0,medium_le_5,499
volatility,,0.38202247191011235,outer_02,12.588014981270083,zero_return,473.8988764044267,0.015767617412279833,0.0,zero,267
spread,,0.0,outer_02,6.999999999970896,zero_return,48.999999999592546,-0.21244017908045065,0.0,normal_le_2,1
spread,,0.1823321554770318,outer_02,11.330035335687432,zero_return,327.04028268552344,0.007900867582300908,0.0,wide_gt_2,1415
time_phase,,0.18220338983050846,outer_02,11.326977401128309,zero_return,326.8439265536831,0.007881778241931703,0.0,close_after_300m,1416
volatility,1.1989399541105947e-17,0.43733333333333335,outer_02,13.083227254380503,training_mean,359.84800806406946,0.0,0.002712267947711622,high_gt_5,375
volatility,-1.242739876699637e-17,0.4581818181818182,outer_02,7.944668090443277,training_mean,155.6329836908945,0.0,0.0016079473032380998,low_le_1,275
volatility,8.637442895421526e-17,0.3967935871743487,outer_02,11.419249251710738,training_mean,321.01728510779947,0.0,-0.0131916438045101,medium_le_5,499
volatility,6.829842325106825e-17,0.250936329588015,outer_02,12.908196614243318,training_mean,481.49083975317205,0.0,-0.01602021808185583,zero,267
spread,,1.0,outer_02,6.3572293533253745,training_mean,40.41436505078176,0.0,0.17521703977310565,normal_le_2,1
spread,7.865387922902778e-17,0.39151943462897526,outer_02,11.469491581991441,training_mean,329.644762301668,0.0,-0.00796378842006118,wide_gt_2,1415
time_phase,3.958859887967725e-17,0.3919491525423729,outer_02,11.465881227310183,training_mean,329.4405035465473,0.0,-0.007944394195245064,close_after_300m,1416
volatility,0.22080960741742425,0.4693333333333333,outer_02,13.70044980512757,simple_state,345.4763280856237,0.03993819517235442,0.0425421400334105,high_gt_5,375
volatility,-0.027510249277387083,0.4763636363636364,outer_02,7.9992828215852105,simple_state,157.87493733153374,-0.014405388803006236,-0.012774278393690164,low_le_1,275
volatility,0.03241600100521127,0.4188376753507014,outer_02,11.544489433333375,simple_state,315.6640801380445,0.01667575304537694,0.00370408983521342,medium_le_5,499
volatility,-0.037527319193043925,0.33707865168539325,outer_02,12.816573373457537,simple_state,477.40200787399124,0.008492024233060946,-0.0073921497686249005,zero,267
spread,,1.0,outer_02,5.836787446848412,simple_state,34.068087699687204,0.15703023771671987,0.30473290408223486,normal_le_2,1
spread,0.12439878520943272,0.4275618374558304,outer_02,11.670925783292182,simple_state,323.6168726514635,0.018286016765794,0.010467854314301195,wide_gt_2,1415
time_phase,0.12449266270419176,0.4279661016949153,outer_02,11.666805629099782,simple_state,323.4123890462716,0.018298036930434636,0.010499009553564087,close_after_300m,1416
volatility,0.29605924538418393,0.5093333333333333,outer_02,13.472582069196816,elastic_net__a1__l11,334.1778592885142,0.07133608690418214,0.07385487226986842,high_gt_5,375
volatility,0.194832339577046,0.509090909090909,outer_02,8.17501960539394,elastic_net__a1__l11,152.4858861313148,0.020221276267697763,0.021796708824293187,low_le_1,275
volatility,0.12489849574318693,0.42084168336673344,outer_02,12.0647674040812,elastic_net__a1__l11,331.0325601003529,-0.031198553651683225,-0.044801757663182284,medium_le_5,499
