walk_mode,year,n,mean_net,median_net,win_rate,total_net,p_one_sided,bootstrap_ci_lo,bootstrap_ci_hi,worst_trade,best_trade
expanding,2024,11,-28.631818181818,-67.1999999999993,0.36363636363636365,-314.949999999998,0.7202719972443056,-116.0186363636362,60.050454545454905,-205.05,181.0
expanding,2025,23,28.289130434782667,71.15000000000148,0.6521739130434783,650.6500000000013,0.2215427186004204,-42.667663043478306,96.2349456521741,-249.7999999999993,300.50000000000074
expanding,2026,13,31.36538461538507,53.89999999999856,0.5384615384615384,407.7500000000059,0.21711422553235857,-41.519615384614895,104.6617307692315,-203.6,249.80000000000155
rolling_252,2024,19,15.581578947368385,61.05000000000075,0.5263157894736842,296.04999999999933,0.3313918583814562,-53.18763157894723,80.70006578947323,-257.8,190.89999999999924
rolling_252,2025,20,31.92249999999989,48.85000000000107,0.65,638.4499999999978,0.17980926553853366,-33.90768749999992,95.70256249999963,-208.95,272.35000000000076
rolling_252,2026,13,34.511538461538635,53.89999999999856,0.5384615384615384,448.65000000000225,0.2074864142589605,-42.9348076923074,110.39653846153878,-203.6,249.80000000000155
expanding,all,47,15.818085106383172,53.89999999999856,0.5531914893617021,743.4500000000091,0.25033489306329043,-29.503430851063616,60.93093085106392,-249.7999999999993,300.50000000000074
rolling_252,all,52,26.59903846153845,52.525000000000006,0.5769230769230769,1383.1499999999994,0.10129066088506783,-13.534687499999853,66.35983173076905,-257.8,272.35000000000076
