training_start,split,train_n,rr_cutoff,intercept,coef_log_iv_int,coef_logT,n,mean_net,median_net,win_rate,total_net,p_one_sided,bootstrap_ci_lo,bootstrap_ci_hi,worst_trade,best_trade
2023-01-02,validation_2025,493,0.02612075298604324,-0.9272637789355382,0.9035118799662287,0.05118746183704625,19,6.352631578947248,46.55000000000069,0.5789473684210527,120.69999999999771,0.4336669514590434,-65.86848684210531,76.93434210526297,-260.5,272.35000000000076
2023-01-02,partial_2026,741,0.02612075298604324,-1.500347105502109,0.8190657936227809,0.09161458945535861,14,11.19285714285756,22.44999999999965,0.5,156.70000000000584,0.39500176490814937,-66.64303571428556,87.7397321428579,-251.05,249.80000000000155
2023-01-23,validation_2025,478,0.0270810062478522,-0.8941884291636324,0.9083950192341889,0.04812272763520718,16,27.95312500000009,54.55000000000106,0.625,447.2500000000014,0.2660635472637984,-54.803203124999776,110.0343750000001,-260.5,300.50000000000074
2023-01-23,partial_2026,726,0.0270810062478522,-1.4844407354182474,0.8215772820234082,0.08981823810775358,14,32.16071428571449,58.649999999999665,0.5714285714285714,450.25000000000284,0.24047066974834058,-52.04375000000009,113.23580357142868,-251.05,251.9499999999985
2023-02-01,validation_2025,472,0.02609297052796276,-0.9665642505721248,0.8973058480635894,0.05387194588872412,19,6.352631578947248,46.55000000000069,0.5789473684210527,120.69999999999771,0.4336669514590434,-65.86848684210531,76.93434210526297,-260.5,272.35000000000076
2023-02-01,partial_2026,720,0.02609297052796276,-1.5480431661061527,0.8119647448579226,0.09471491255025287,14,11.19285714285756,22.44999999999965,0.5,156.70000000000584,0.39500176490814937,-66.64303571428556,87.7397321428579,-251.05,249.80000000000155
2023-03-01,validation_2025,452,0.02576483482727076,-1.004275395219306,0.891169397867567,0.057412286961150645,19,-0.792105263158015,46.55000000000069,0.5263157894736842,-15.050000000002285,0.5081938572444479,-73.58302631578958,72.02105263157863,-260.5,272.35000000000076
2023-03-01,partial_2026,700,0.02576483482727076,-1.5852553714117459,0.8060291691144378,0.09819460219959314,14,11.19285714285756,22.44999999999965,0.5,156.70000000000584,0.39500176490814937,-66.64303571428556,87.7397321428579,-251.05,249.80000000000155
2023-04-01,validation_2025,431,0.0256856498691112,-1.0484262190656448,0.8877740127451125,0.056129472579737036,21,-20.266666666666847,-32.99999999999932,0.47619047619047616,-425.6000000000038,0.703837581784831,-91.45952380952392,50.814523809523806,-260.5,272.35000000000076
2023-04-01,partial_2026,679,0.0256856498691112,-1.6258640678286564,0.8019866773245047,0.09847777988535045,14,11.19285714285756,22.44999999999965,0.5,156.70000000000584,0.39500176490814937,-66.64303571428556,87.7397321428579,-251.05,249.80000000000155
2023-07-01,validation_2025,371,0.02521587023243938,-1.2202334623325441,0.8480075412115609,0.08736814767836917,16,5.071874999999999,31.825000000000358,0.5625,81.14999999999998,0.4504317949118987,-70.93195312500008,80.97226562499996,-260.5,272.35000000000076
2023-07-01,partial_2026,619,0.02521587023243938,-1.7176944996103334,0.7810646714466465,0.11432161280632827,14,11.19285714285756,22.44999999999965,0.5,156.70000000000584,0.39500176490814937,-66.64303571428556,87.7397321428579,-251.05,249.80000000000155
2023-10-01,validation_2025,308,0.02541196799927924,-1.2217502295944254,0.8458563825901111,0.08943782314398792,16,5.071874999999999,31.825000000000358,0.5625,81.14999999999998,0.4504317949118987,-70.93195312500008,80.97226562499996,-260.5,272.35000000000076
2023-10-01,partial_2026,556,0.02541196799927924,-1.7183229510134082,0.7812821443894703,0.11327596960479391,14,11.19285714285756,22.44999999999965,0.5,156.70000000000584,0.39500176490814937,-66.64303571428556,87.7397321428579,-251.05,249.80000000000155
2024-01-01,validation_2025,248,0.0260374056118018,-1.2558609286225924,0.8373760552824673,0.09642358632828855,15,5.363333333333374,17.100000000000023,0.5333333333333333,80.45000000000061,0.4519310618647705,-76.32749999999999,87.49724999999995,-260.5,272.35000000000076
2024-01-01,partial_2026,496,0.0260374056118018,-1.7399884705874173,0.778714510934588,0.11357015128050432,14,11.19285714285756,22.44999999999965,0.5,156.70000000000584,0.39500176490814937,-66.64303571428556,87.7397321428579,-251.05,249.80000000000155
