date,expiry,year,rr_400,pred_ratio_frozen,width,credit,payoff,pnl,maxloss,romr,iv,fwd_rv,vrp_expost,pred_int,pred_ratio,pred_vol_edge,pred_vrp_int,fwd_rv_cal,vrp_int,vrp_ratio,netpts_cost6
2023-03-16,2023-03-16,2023,-0.0219258768781093,0.6953319035605997,500,108.75,60.400399999998626,48.349600000001374,391.25,0.1235772523961696,0.308950362055914,0.1372918494303155,0.1716585126255984,4.672141000420377e-05,0.6953319035605997,0.0513272710446562,2.0471551752558045e-05,0.323784853924993,-6.607558988197648e-06,1.0983370700657158,42.349600000001374
2023-12-21,2023-12-21,2023,0.0016720052222121,0.694484153980908,500,136.35,233.0,-96.65,363.65,-0.2657775333424997,0.3110144426897712,0.1206778265206622,0.190336616169109,4.729005535654456e-05,0.6944841539809068,0.0518283304106119,2.0803730636223663e-05,0.2846028558440436,1.1074092965383351e-05,0.8373699919320178,-102.65
2024-01-29,2024-02-01,2024,0.0230942023086199,0.663322278820809,500,292.59999999999997,190.29999999999927,102.3000000000007,207.40000000000003,0.4932497589199647,0.2186909623785737,0.1155823452717886,0.103108617106785,0.0002830764507652,0.6633222788206601,0.0405789839200539,0.000143679079395,0.1538995859626739,0.0002154103300005,0.4952371679410453,96.3000000000007
2024-02-02,2024-02-08,2024,0.0058742609758057,0.6962846552014054,500,275.5,140.29999999999927,135.20000000000073,224.5,0.6022271714922082,0.143737982338403,0.1180288151071841,0.0257091672312188,0.000246603563133,0.696284655201345,0.0237977304800695,0.0001075670498351,0.1268113801048311,7.850290676946994e-05,0.7783472035933376,129.20000000000073
2024-02-09,2024-02-15,2024,0.0186149302743966,0.6848366562383221,500,294.1,227.04999999999927,67.05000000000075,205.9,0.3256435162700377,0.1573510946078969,0.1324933218895105,0.0248577727183864,0.0002906671613854,0.6848366562382239,0.0271354193254756,0.0001337656704989,0.1423521958449264,7.705845891362907e-05,0.8184436897317924,61.05000000000075
2024-02-23,2024-02-29,2024,0.020133679827711,0.699974384943811,500,279.4,207.95000000000073,71.44999999999925,220.6,0.3238893925657264,0.1396507163906442,0.0986433416848774,0.0410073747057668,0.0002340118865901,0.6999743849436275,0.0228126820918698,0.000100303042104,0.1059834268932714,0.0001417641184732,0.5759563623827522,65.44999999999925
2024-03-01,2024-03-07,2024,0.0261763179022042,0.6970461562560001,500,285.75,383.5,-97.75,214.25,-0.456242707117853,0.1428829670707685,0.0882996994992325,0.054583267571536,0.0002439449832829,0.6970461562558912,0.0235909921796671,0.000106024643683,0.0975465555678505,0.000186854847983,0.4660826723649915,-103.75
2024-03-14,2024-03-14,2024,-0.0175832410080204,0.6934795315221468,500,142.95,203.04999999999927,-60.09999999999928,357.05,-0.1683237641786844,0.3134816362798361,0.1084051337217839,0.2050765025580521,4.797381152888436e-05,0.6934795315221455,0.0524284919566187,2.120459871717547e-05,0.2556593165032901,2.316656880290653e-05,0.6651185142806021,-66.09999999999928
2024-03-18,2024-03-21,2024,0.0174054362789347,0.6961867687090753,500,250.1,14.599999999998545,235.50000000000148,249.9,0.942376950780318,0.1679584279612326,0.1148734812581534,0.0530849467030792,0.000175245491386,0.6961867687088108,0.0278175984942647,7.647645919205227e-05,0.1529557231439558,4.2961152048263734e-05,0.8293309266450515,229.50000000000148
2024-05-10,2024-05-16,2024,0.0248132548298224,0.6908259240037247,500,288.35,442.34999999999854,-153.99999999999852,211.65,-0.7276163477439099,0.1500475173453253,0.1128641881427519,0.0371833292025734,0.0002666218203081,0.6908259240036261,0.0253341150419108,0.0001193246403616,0.1212624514598093,0.0001338759031589,0.6531231225009598,-159.99999999999852
