session,signal_ns,prediction,direction,latency_ms,ttl_seconds,queue_model,status,entry_quote_age_ms,queue_ahead_units,fee_bps,entry_price,exit_price,gross_bps,fill_delay_ms,adverse_mid_move_1s_bps,mark_from_fill_1s_bps,adverse_mid_move_5s_bps,mark_from_fill_5s_bps
2026-08-26,1787731280000000000,6.484347314195779e-05,1,0,1,touch,filled,661.403904,0.0,0.2,24439.099609375,24435.0,-1.677620423651838,758.26816,0.0,0.3480370183062322,0.36800300575822564,0.7160400240667474
2026-08-26,1787731280000000000,6.484347314195779e-05,1,0,1,touch,filled,661.403904,0.0,0.5,24439.099609375,24435.0,-1.677620423651838,758.26816,0.0,0.3480370183062322,0.36800300575822564,0.7160400240667474
2026-08-26,1787731280000000000,6.484347314195779e-05,1,0,1,touch,filled,661.403904,0.0,1.0,24439.099609375,24435.0,-1.677620423651838,758.26816,0.0,0.3480370183062322,0.36800300575822564,0.7160400240667474
2026-08-26,1787731850000000000,7.393249962792769e-05,1,0,1,touch,unfilled,749.394944,0.0,0.0,,,,,,,,
2026-08-26,1787731850000000000,7.393249962792769e-05,1,0,1,touch,unfilled,749.394944,0.0,0.2,,,,,,,,
2026-08-26,1787731850000000000,7.393249962792769e-05,1,0,1,touch,unfilled,749.394944,0.0,0.5,,,,,,,,
2026-08-26,1787731850000000000,7.393249962792769e-05,1,0,1,touch,unfilled,749.394944,0.0,1.0,,,,,,,,
2026-08-26,1787731940000000000,-6.501063883767382e-05,-1,0,1,touch,filled,819.734016,0.0,0.0,24444.0,24438.0,2.4548913833854744,413.156096,0.49100092986469807,0.3068284675692894,2.741364066138079,2.5571916038433407
2026-08-26,1787731940000000000,-6.501063883767382e-05,-1,0,1,touch,filled,819.734016,0.0,0.2,24444.0,24438.0,2.4548913833854744,413.156096,0.49100092986469807,0.3068284675692894,2.741364066138079,2.5571916038433407
2026-08-26,1787731940000000000,-6.501063883767382e-05,-1,0,1,touch,filled,819.734016,0.0,0.5,24444.0,24438.0,2.4548913833854744,413.156096,0.49100092986469807,0.3068284675692894,2.741364066138079,2.5571916038433407
2026-08-26,1787731940000000000,-6.501063883767382e-05,-1,0,1,touch,filled,819.734016,0.0,1.0,24444.0,24438.0,2.4548913833854744,413.156096,0.49100092986469807,0.3068284675692894,2.741364066138079,2.5571916038433407
2026-08-26,1787731975000000000,-6.303621165447107e-05,-1,0,1,touch,unfilled,978.58816,0.0,0.0,,,,,,,,
2026-08-26,1787731975000000000,-6.303621165447107e-05,-1,0,1,touch,unfilled,978.58816,0.0,0.2,,,,,,,,
2026-08-26,1787731975000000000,-6.303621165447107e-05,-1,0,1,touch,unfilled,978.58816,0.0,0.5,,,,,,,,
2026-08-26,1787731975000000000,-6.303621165447107e-05,-1,0,1,touch,unfilled,978.58816,0.0,1.0,,,,,,,,
2026-08-26,1787732215000000000,6.664947532561039e-05,1,0,1,touch,unfilled,145.035008,0.0,0.0,,,,,,,,
2026-08-26,1787732215000000000,6.664947532561039e-05,1,0,1,touch,unfilled,145.035008,0.0,0.2,,,,,,,,
2026-08-26,1787732215000000000,6.664947532561039e-05,1,0,1,touch,unfilled,145.035008,0.0,0.5,,,,,,,,
2026-08-26,1787732215000000000,6.664947532561039e-05,1,0,1,touch,unfilled,145.035008,0.0,1.0,,,,,,,,
2026-08-26,1787732375000000000,5.889818689526027e-05,1,0,1,touch,filled,694.789888,0.0,0.0,24425.099609375,24428.400390625,1.3512977596382874,516.477952,0.0,0.47097598506906424,0.020389800612967062,0.4913657856840497
2026-08-26,1787732375000000000,5.889818689526027e-05,1,0,1,touch,filled,694.789888,0.0,0.2,24425.099609375,24428.400390625,1.3512977596382874,516.477952,0.0,0.47097598506906424,0.020389800612967062,0.4913657856840497
2026-08-26,1787732375000000000,5.889818689526027e-05,1,0,1,touch,filled,694.789888,0.0,0.5,24425.099609375,24428.400390625,1.3512977596382874,516.477952,0.0,0.47097598506906424,0.020389800612967062,0.4913657856840497
2026-08-26,1787732375000000000,5.889818689526027e-05,1,0,1,touch,filled,694.789888,0.0,1.0,24425.099609375,24428.400390625,1.3512977596382874,516.477952,0.0,0.47097598506906424,0.020389800612967062,0.4913657856840497
2026-08-26,1787732545000000000,6.22909991730546e-05,1,0,1,touch,unfilled,662.302976,0.0,0.0,,,,,,,,
2026-08-26,1787732545000000000,6.22909991730546e-05,1,0,1,touch,unfilled,662.302976,0.0,0.2,,,,,,,,
2026-08-26,1787732545000000000,6.22909991730546e-05,1,0,1,touch,unfilled,662.302976,0.0,0.5,,,,,,,,
2026-08-26,1787732545000000000,6.22909991730546e-05,1,0,1,touch,unfilled,662.302976,0.0,1.0,,,,,,,,
2026-08-26,1787732580000000000,-6.135361701444951e-05,-1,0,1,touch,unfilled,757.679104,0.0,0.0,,,,,,,,
2026-08-26,1787732580000000000,-6.135361701444951e-05,-1,0,1,touch,unfilled,757.679104,0.0,0.2,,,,,,,,
2026-08-26,1787732580000000000,-6.135361701444951e-05,-1,0,1,touch,unfilled,757.679104,0.0,0.5,,,,,,,,
2026-08-26,1787732580000000000,-6.135361701444951e-05,-1,0,1,touch,unfilled,757.679104,0.0,1.0,,,,,,,,
2026-08-26,1787732650000000000,6.292807603821623e-05,1,0,1,touch,unfilled,225.466112,0.0,0.0,,,,,,,,
2026-08-26,1787732650000000000,6.292807603821623e-05,1,0,1,touch,unfilled,225.466112,0.0,0.2,,,,,,,,
2026-08-26,1787732650000000000,6.292807603821623e-05,1,0,1,touch,unfilled,225.466112,0.0,0.5,,,,,,,,
2026-08-26,1787732650000000000,6.292807603821623e-05,1,0,1,touch,unfilled,225.466112,0.0,1.0,,,,,,,,
2026-08-26,1787732845000000000,7.176928910099736e-05,1,0,1,touch,unfilled,112.74496,0.0,0.0,,,,,,,,
2026-08-26,1787732845000000000,7.176928910099736e-05,1,0,1,touch,unfilled,112.74496,0.0,0.2,,,,,,,,
2026-08-26,1787732845000000000,7.176928910099736e-05,1,0,1,touch,unfilled,112.74496,0.0,0.5,,,,,,,,
2026-08-26,1787732845000000000,7.176928910099736e-05,1,0,1,touch,unfilled,112.74496,0.0,1.0,,,,,,,,
2026-08-26,1787732960000000000,0.00010160484036758127,1,0,1,touch,unfilled,6.448896,0.0,0.0,,,,,,,,
2026-08-26,1787732960000000000,0.00010160484036758127,1,0,1,touch,unfilled,6.448896,0.0,0.2,,,,,,,,
2026-08-26,1787732960000000000,0.00010160484036758127,1,0,1,touch,unfilled,6.448896,0.0,0.5,,,,,,,,
2026-08-26,1787732960000000000,0.00010160484036758127,1,0,1,touch,unfilled,6.448896,0.0,1.0,,,,,,,,
2026-08-26,1787732990000000000,6.978982249160724e-05,1,0,1,touch,unfilled,153.327872,0.0,0.0,,,,,,,,
2026-08-26,1787732990000000000,6.978982249160724e-05,1,0,1,touch,unfilled,153.327872,0.0,0.2,,,,,,,,
2026-08-26,1787732990000000000,6.978982249160724e-05,1,0,1,touch,unfilled,153.327872,0.0,0.5,,,,,,,,
2026-08-26,1787732990000000000,6.978982249160724e-05,1,0,1,touch,unfilled,153.327872,0.0,1.0,,,,,,,,
2026-08-26,1787733120000000000,-6.345819054363484e-05,-1,0,1,touch,unfilled,548.62592,0.0,0.0,,,,,,,,
2026-08-26,1787733120000000000,-6.345819054363484e-05,-1,0,1,touch,unfilled,548.62592,0.0,0.2,,,,,,,,
