latency_ms,ttl_seconds,queue_model,fee_bps,signals,fills,fill_rate,mean_net_bps_per_fill,mean_net_bps_per_signal,total_net_bps,win_rate_fills,break_even_fee_bps_per_fill
0,1,full_displayed,0.0,203,6,0.029556650246305417,-0.24984601153086108,-0.007384611178252052,-1.4990760691851666,0.5,-0.24984601153086108
0,1,full_displayed,0.2,203,6,0.029556650246305417,-0.4498460115308611,-0.013295941227513137,-2.6990760691851667,0.5,-0.24984601153086108
0,1,full_displayed,0.5,203,6,0.029556650246305417,-0.7498460115308613,-0.022162936301404767,-4.4990760691851674,0.5,-0.24984601153086108
0,1,full_displayed,1.0,203,6,0.029556650246305417,-1.2498460115308612,-0.036941261424557476,-7.4990760691851674,0.3333333333333333,-0.24984601153086108
0,1,half_displayed,0.0,203,7,0.034482758620689655,-0.2141537241693095,-0.007384611178252052,-1.4990760691851666,0.42857142857142855,-0.2141537241693095
0,1,half_displayed,0.2,203,7,0.034482758620689655,-0.41415372416930957,-0.014281162902389984,-2.899076069185167,0.42857142857142855,-0.2141537241693095
0,1,half_displayed,0.5,203,7,0.034482758620689655,-0.7141537241693097,-0.024625990488596886,-4.9990760691851674,0.42857142857142855,-0.2141537241693095
0,1,half_displayed,1.0,203,7,0.034482758620689655,-1.2141537241693097,-0.04186736979894171,-8.499076069185168,0.2857142857142857,-0.2141537241693095
0,1,touch,0.0,203,28,0.13793103448275862,0.13449490334029185,0.01855102115038508,3.7658572935281716,0.5,0.13449490334029185
0,1,touch,0.2,203,28,0.13793103448275862,-0.06550509665970815,-0.00903518574616664,-1.834142706471828,0.5,0.13449490334029185
0,1,touch,0.5,203,28,0.13793103448275862,-0.36550509665970815,-0.05041449609099423,-10.234142706471829,0.35714285714285715,0.13449490334029185
0,1,touch,1.0,203,28,0.13793103448275862,-0.8655050966597081,-0.11938001333237352,-24.234142706471825,0.25,0.13449490334029185
0,5,full_displayed,0.0,203,31,0.15270935960591134,0.2722691595769271,0.04157804899943222,8.44034394688474,0.41935483870967744,0.2722691595769271
0,5,full_displayed,0.2,203,31,0.15270935960591134,0.072269159576927,0.011036177078249935,2.240343946884737,0.41935483870967744,0.2722691595769271
0,5,full_displayed,0.5,203,31,0.15270935960591134,-0.22773084042307296,-0.03477663080352346,-7.059656053115262,0.3225806451612903,0.2722691595769271
0,5,full_displayed,1.0,203,31,0.15270935960591134,-0.727730840423073,-0.11113131060647913,-22.559656053115262,0.2903225806451613,0.2722691595769271
0,5,half_displayed,0.0,203,35,0.1724137931034483,0.29510896695140804,0.05088085637093242,10.328813843299281,0.45714285714285713,0.29510896695140804
0,5,half_displayed,0.2,203,35,0.1724137931034483,0.09510896695140798,0.016398097750242757,3.3288138432992795,0.42857142857142855,0.29510896695140804
0,5,half_displayed,0.5,203,35,0.1724137931034483,-0.20489103304859207,-0.03532604018079173,-7.171186156700722,0.34285714285714286,0.29510896695140804
0,5,half_displayed,1.0,203,35,0.1724137931034483,-0.7048910330485921,-0.12153293673251588,-24.671186156700724,0.3142857142857143,0.29510896695140804
0,5,touch,0.0,203,93,0.458128078817734,0.3391956450892831,0.15539504922809524,31.545194993303333,0.5483870967741935,0.3391956450892831
0,5,touch,0.2,203,93,0.458128078817734,0.1391956450892831,0.06376943346454841,12.945194993303328,0.4946236559139785,0.3391956450892831
0,5,touch,0.5,203,93,0.458128078817734,-0.16080435491071693,-0.07366899018077179,-14.954805006696674,0.3763440860215054,0.3391956450892831
