session,latency_ms,ttl_seconds,queue_model,fee_bps,signals,fills,fill_rate,mean_net_bps_per_fill,mean_net_bps_per_signal,total_net_bps,win_rate_fills,mean_adverse_1s_bps,mean_adverse_5s_bps
2026-08-26,0,1,full_displayed,0.0,61,4,0.06557377049180328,-1.1356761531664123,-0.07447056742074835,-4.542704612665649,0.25,0.08178444217754802,0.6699144255093793
2026-08-26,0,1,full_displayed,0.2,61,4,0.06557377049180328,-1.3356761531664123,-0.087585321519109,-5.342704612665649,0.25,0.08178444217754802,0.6699144255093793
2026-08-26,0,1,full_displayed,0.5,61,4,0.06557377049180328,-1.6356761531664126,-0.10725745266665,-6.54270461266565,0.25,0.08178444217754802,0.6699144255093793
2026-08-26,0,1,full_displayed,1.0,61,4,0.06557377049180328,-2.1356761531664126,-0.14004433791255164,-8.54270461266565,0.25,0.08178444217754802,0.6699144255093793
2026-08-26,0,1,half_displayed,0.0,61,4,0.06557377049180328,-1.1356761531664123,-0.07447056742074835,-4.542704612665649,0.25,0.08178444217754802,0.6699144255093793
2026-08-26,0,1,half_displayed,0.2,61,4,0.06557377049180328,-1.3356761531664123,-0.087585321519109,-5.342704612665649,0.25,0.08178444217754802,0.6699144255093793
2026-08-26,0,1,half_displayed,0.5,61,4,0.06557377049180328,-1.6356761531664126,-0.10725745266665,-6.54270461266565,0.25,0.08178444217754802,0.6699144255093793
2026-08-26,0,1,half_displayed,1.0,61,4,0.06557377049180328,-2.1356761531664126,-0.14004433791255164,-8.54270461266565,0.25,0.08178444217754802,0.6699144255093793
2026-08-26,0,1,touch,0.0,61,8,0.13114754098360656,-0.5471895583083148,-0.0717625650240413,-4.377516466466519,0.375,0.04089222108877401,0.40142702968946165
2026-08-26,0,1,touch,0.2,61,8,0.13114754098360656,-0.7471895583083148,-0.0979920732207626,-5.977516466466518,0.375,0.04089222108877401,0.40142702968946165
2026-08-26,0,1,touch,0.5,61,8,0.13114754098360656,-1.047189558308315,-0.1373363355158446,-8.37751646646652,0.25,0.04089222108877401,0.40142702968946165
2026-08-26,0,1,touch,1.0,61,8,0.13114754098360656,-1.547189558308315,-0.2029101060076479,-12.37751646646652,0.25,0.04089222108877401,0.40142702968946165
2026-08-26,0,5,full_displayed,0.0,61,9,0.14754098360655737,-0.10896213008863193,-0.016076379849142414,-0.9806591707976873,0.4444444444444444,0.02951530093139267,0.3797885991147703
2026-08-26,0,5,full_displayed,0.2,61,9,0.14754098360655737,-0.3089621300886319,-0.04558457657045389,-2.780659170797687,0.4444444444444444,0.02951530093139267,0.3797885991147703
2026-08-26,0,5,full_displayed,0.5,61,9,0.14754098360655737,-0.6089621300886321,-0.08984687165242113,-5.480659170797689,0.3333333333333333,0.02951530093139267,0.3797885991147703
2026-08-26,0,5,full_displayed,1.0,61,9,0.14754098360655737,-1.1089621300886323,-0.16361736345569983,-9.98065917079769,0.3333333333333333,0.02951530093139267,0.3797885991147703
2026-08-26,0,5,half_displayed,0.0,61,9,0.14754098360655737,-0.10896213008863193,-0.016076379849142414,-0.9806591707976873,0.4444444444444444,0.03408580803789875,0.3866221844154198
2026-08-26,0,5,half_displayed,0.2,61,9,0.14754098360655737,-0.3089621300886319,-0.04558457657045389,-2.780659170797687,0.4444444444444444,0.03408580803789875,0.3866221844154198
2026-08-26,0,5,half_displayed,0.5,61,9,0.14754098360655737,-0.6089621300886321,-0.08984687165242113,-5.480659170797689,0.3333333333333333,0.03408580803789875,0.3866221844154198
2026-08-26,0,5,half_displayed,1.0,61,9,0.14754098360655737,-1.1089621300886323,-0.16361736345569983,-9.98065917079769,0.3333333333333333,0.03408580803789875,0.3866221844154198
2026-08-26,0,5,touch,0.0,61,23,0.3770491803278688,-0.2171406056124362,-0.08187268736206611,-4.9942339290860325,0.5217391304347826,0.01422338124826922,0.26596508396362817
2026-08-26,0,5,touch,0.2,61,23,0.3770491803278688,-0.41714060561243627,-0.1572825234276399,-9.594233929086034,0.43478260869565216,0.01422338124826922,0.26596508396362817
2026-08-26,0,5,touch,0.5,61,23,0.3770491803278688,-0.7171406056124362,-0.2703972775260005,-16.494233929086032,0.30434782608695654,0.01422338124826922,0.26596508396362817
2026-08-26,0,5,touch,1.0,61,23,0.3770491803278688,-1.2171406056124363,-0.45892186768993504,-27.994233929086036,0.2608695652173913,0.01422338124826922,0.26596508396362817
2026-08-26,250,1,full_displayed,0.0,61,3,0.04918032786885246,-0.23158974823930042,-0.01138965974947379,-0.6947692447179012,0.3333333333333333,0.163666976621566,0.9001467327292415
2026-08-26,250,1,full_displayed,0.2,61,3,0.04918032786885246,-0.43158974823930046,-0.021225725323244283,-1.2947692447179013,0.3333333333333333,0.163666976621566,0.9001467327292415
2026-08-26,250,1,full_displayed,0.5,61,3,0.04918032786885246,-0.7315897482393005,-0.03597982368390002,-2.1947692447179015,0.3333333333333333,0.163666976621566,0.9001467327292415
2026-08-26,250,1,full_displayed,1.0,61,3,0.04918032786885246,-1.2315897482393006,-0.06056998761832626,-3.6947692447179015,0.3333333333333333,0.163666976621566,0.9001467327292415
2026-08-26,250,1,half_displayed,0.0,61,3,0.04918032786885246,-0.23158974823930042,-0.01138965974947379,-0.6947692447179012,0.3333333333333333,0.163666976621566,0.9001467327292415
2026-08-26,250,1,half_displayed,0.2,61,3,0.04918032786885246,-0.43158974823930046,-0.021225725323244283,-1.2947692447179013,0.3333333333333333,0.163666976621566,0.9001467327292415
2026-08-26,250,1,half_displayed,0.5,61,3,0.04918032786885246,-0.7315897482393005,-0.03597982368390002,-2.1947692447179015,0.3333333333333333,0.163666976621566,0.9001467327292415
2026-08-26,250,1,half_displayed,1.0,61,3,0.04918032786885246,-1.2315897482393006,-0.06056998761832626,-3.6947692447179015,0.3333333333333333,0.163666976621566,0.9001467327292415
2026-08-26,250,1,touch,0.0,61,8,0.13114754098360656,-0.5267150131446029,-0.06907737877306268,-4.213720105156823,0.375,0.06137511623308726,0.4245077368526501
2026-08-26,250,1,touch,0.2,61,8,0.13114754098360656,-0.7267150131446027,-0.09530688696978397,-5.813720105156822,0.375,0.06137511623308726,0.4245077368526501
2026-08-26,250,1,touch,0.5,61,8,0.13114754098360656,-1.0267150131446028,-0.13465114926486593,-8.213720105156822,0.25,0.06137511623308726,0.4245077368526501
2026-08-26,250,1,touch,1.0,61,8,0.13114754098360656,-1.5267150131446028,-0.20022491975666923,-12.213720105156822,0.25,0.06137511623308726,0.4245077368526501
2026-08-26,250,5,full_displayed,0.0,61,8,0.13114754098360656,-0.5627355003638224,-0.07380137709689473,-4.501884002910579,0.375,0.05113971289733212,0.10230502305741837
2026-08-26,250,5,full_displayed,0.2,61,8,0.13114754098360656,-0.7627355003638222,-0.10003088529361602,-6.101884002910578,0.375,0.05113971289733212,0.10230502305741837
2026-08-26,250,5,full_displayed,0.5,61,8,0.13114754098360656,-1.0627355003638224,-0.139375147588698,-8.501884002910579,0.25,0.05113971289733212,0.10230502305741837
2026-08-26,250,5,full_displayed,1.0,61,8,0.13114754098360656,-1.5627355003638224,-0.20494891808050128,-12.501884002910579,0.25,0.05113971289733212,0.10230502305741837
2026-08-26,250,5,half_displayed,0.0,61,9,0.14754098360655737,-0.1044325608273331,-0.01540808274501636,-0.9398930474459979,0.4444444444444444,0.05002802968191241,0.3935053368720857
2026-08-26,250,5,half_displayed,0.2,61,9,0.14754098360655737,-0.304432560827333,-0.04491627946632782,-2.739893047445997,0.4444444444444444,0.05002802968191241,0.3935053368720857
2026-08-26,250,5,half_displayed,0.5,61,9,0.14754098360655737,-0.6044325608273331,-0.08917857454829504,-5.439893047445998,0.3333333333333333,0.05002802968191241,0.3935053368720857
2026-08-26,250,5,half_displayed,1.0,61,9,0.14754098360655737,-1.104432560827333,-0.16294906635157375,-9.939893047445999,0.3333333333333333,0.05002802968191241,0.3935053368720857
2026-08-26,250,5,touch,0.0,61,24,0.39344262295081966,-0.17569315029623045,-0.0691251738870415,-4.216635607109531,0.5416666666666666,0.02045837207769575,0.2975327422445175
2026-08-26,250,5,touch,0.2,61,24,0.39344262295081966,-0.37569315029623046,-0.14781369847720544,-9.016635607109531,0.4583333333333333,0.02045837207769575,0.2975327422445175
2026-08-26,250,5,touch,0.5,61,24,0.39344262295081966,-0.6756931502962304,-0.2658464853624513,-16.21663560710953,0.3333333333333333,0.02045837207769575,0.2975327422445175
2026-08-26,250,5,touch,1.0,61,24,0.39344262295081966,-1.1756931502962304,-0.46256779683786114,-28.21663560710953,0.25,0.02045837207769575,0.2975327422445175
2026-08-26,1000,1,full_displayed,0.0,61,0,0.0,,0.0,0.0,,,
2026-08-26,1000,1,full_displayed,0.2,61,0,0.0,,0.0,0.0,,,
2026-08-26,1000,1,full_displayed,0.5,61,0,0.0,,0.0,0.0,,,
2026-08-26,1000,1,full_displayed,1.0,61,0,0.0,,0.0,0.0,,,
2026-08-26,1000,1,half_displayed,0.0,61,0,0.0,,0.0,0.0,,,
2026-08-26,1000,1,half_displayed,0.2,61,0,0.0,,0.0,0.0,,,
2026-08-26,1000,1,half_displayed,0.5,61,0,0.0,,0.0,0.0,,,
2026-08-26,1000,1,half_displayed,1.0,61,0,0.0,,0.0,0.0,,,
2026-08-26,1000,1,touch,0.0,61,0,0.0,,0.0,0.0,,,
2026-08-26,1000,1,touch,0.2,61,0,0.0,,0.0,0.0,,,
2026-08-26,1000,1,touch,0.5,61,0,0.0,,0.0,0.0,,,
2026-08-26,1000,1,touch,1.0,61,0,0.0,,0.0,0.0,,,
2026-08-26,1000,5,full_displayed,0.0,61,4,0.06557377049180328,-0.501354020052395,-0.03287567344605869,-2.00541608020958,0.25,0.0,-0.07676367349567383
2026-08-26,1000,5,full_displayed,0.2,61,4,0.06557377049180328,-0.701354020052395,-0.04599042754441934,-2.80541608020958,0.25,0.0,-0.07676367349567383
2026-08-26,1000,5,full_displayed,0.5,61,4,0.06557377049180328,-1.001354020052395,-0.06566255869196032,-4.00541608020958,0.25,0.0,-0.07676367349567383
2026-08-26,1000,5,full_displayed,1.0,61,4,0.06557377049180328,-1.501354020052395,-0.09844944393786197,-6.00541608020958,0.0,0.0,-0.07676367349567383
2026-08-26,1000,5,half_displayed,0.0,61,5,0.08196721311475409,0.31131497505100014,0.025517620905819684,1.5565748752550008,0.4,0.0,0.4709101771401767
2026-08-26,1000,5,half_displayed,0.2,61,5,0.08196721311475409,0.11131497505100016,0.009124178282868866,0.5565748752550008,0.4,0.0,0.4709101771401767
2026-08-26,1000,5,half_displayed,0.5,61,5,0.08196721311475409,-0.18868502494899975,-0.015465985651557356,-0.9434251247449987,0.4,0.0,0.4709101771401767
2026-08-26,1000,5,half_displayed,1.0,61,5,0.08196721311475409,-0.6886850249489997,-0.056449592208934404,-3.4434251247449987,0.2,0.0,0.4709101771401767
2026-08-26,1000,5,touch,0.0,61,20,0.32786885245901637,-0.30704519349206666,-0.10067055524330054,-6.140903869841333,0.5,-0.025558346869829007,0.16885054056227272
